,Unnamed: 0,objectid,name,address,city,state,zip,population,county,countyfips,latitude,longitude,naics_desc,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,GEOID,centroid_lat,centroid_lon,hdistance,distance_km,distance_minutes
19,2174,45712,TAYLOR CENTER FOR NEW EXPERIENCES,1633 NORTH HAMLIN,CHICAGO,IL,60647,93,COOK,17031,41.91112,-87.72122,CHILD DAY CARE CENTERS,POINT (-87.72122 41.91112),1645,17,31,230400,17031230400,41.91182020108148,-87.72155193810806,0.0513565449810623,0.079,0.48333333333333334
20,2883,46422,MCCORMICK TRIBUNE YMCA,1834 N LAWNDALE,CHICAGO,IL,60647,48,COOK,17031,41.91489,-87.71965,CHILD DAY CARE CENTERS,POINT (-87.71965 41.91489),1630,17,31,222900,17031222900,41.91556435214301,-87.72007440938823,0.0515049395095097,0.171,1.2666666666666666
21,1965,45503,CITY GARDEN WALDORF SCHOOL,920 W 19TH ST,CHICAGO,IL,60608,73,COOK,17031,41.85689,-87.64912,CHILD DAY CARE CENTERS,POINT (-87.64912 41.85689),1349,17,31,310300,17031310300,41.8561439577304,-87.64897823817081,0.0521160459282246,0.211,1.4
22,1963,45501,A STEP AHEAD LEARNING CENTER,4208 N BROADWAY ST NUMBER 20,CHICAGO,IL,60613,70,COOK,17031,41.95883,-87.6535,CHILD DAY CARE CENTERS,POINT (-87.6535 41.95883),1702,17,31,32100,17031032100,41.95815388295838,-87.65301789121118,0.0529328957594844,0.085,0.23333333333333334
23,2285,45823,THE LITTLE RED WAGON,3001 W LAFAYETTE AVE,JACKSONVILLE,IL,62650,131,MORGAN,17137,39.7373267,-90.2718913,CHILD DAY CARE CENTERS,POINT (-90.2718913 39.7373267),2951,17,137,951900,17137951900,39.73720526730629,-90.2728872599862,0.0536354628277328,0.197,0.26666666666666666
24,692,44230,BRIGHT HORIZONS AT WESTERN SPRINGS,4700 COMMONWEALTH AVE,WESTERN SPRGS,IL,60558,211,COOK,17031,41.80384,-87.90816,CHILD DAY CARE CENTERS,POINT (-87.90816 41.80384),1108,17,31,819900,17031819900,41.80418104674053,-87.90715786658184,0.0567995011623412,0.178,0.7833333333333333
25,1231,44769,"ALL ABOUT KIDS, CHILD CARE, INC.",485 N COMMONS DR,AURORA,IL,60504,87,DUPAGE,17043,41.76259,-88.21982,CHILD DAY CARE CENTERS,POINT (-88.21982 41.76259),1914,17,43,846509,17043846509,41.761837985205226,-88.21932353726723,0.057979550991954,0.142,0.9166666666666666
26,2554,46093,KINDERCARE LEARNING CENTERS 301788,1733 N MARCEY ST,CHICAGO,IL,60614,119,COOK,17031,41.91431,-87.65502,CHILD DAY CARE CENTERS,POINT (-87.65502 41.91431),246,17,31,832600,17031832600,41.91474920450523,-87.65405513068569,0.058216786688742,0.364,1.2666666666666666
27,1810,45348,ERIE NEIGHBORHOOD HOUSE,1313 N CLAREMONT AVE,CHICAGO,IL,60622,90,COOK,17031,41.90609,-87.68546,CHILD DAY CARE CENTERS,POINT (-87.68546 41.90609),1769,17,31,241200,17031241200,41.90670706354112,-87.6846857518279,0.0583963608445994,0.119,0.5166666666666667
28,2677,46216,JULIE'S MONTESSORI PRE - SCHOOL,3400 6TH AVENUE,STERLING,IL,61081,40,WHITESIDE,17195,41.820121,-89.688681,CHILD DAY CARE CENTERS,POINT (-89.688681 41.820121),3245,17,195,900,17195000900,41.81935030825016,-89.68917703814358,0.0591218282246992,0.086,0.08333333333333333
29,2882,46421,EARLY LEARNING FOUNDATIONS PRESCHOOL,1455 N CLARK ST,CHICAGO,IL,60610,34,COOK,17031,41.90873,-87.63153,CHILD DAY CARE CENTERS,POINT (-87.63153 41.90873),2552,17,31,80201,17031080201,41.909497569694565,-87.63100510505922,0.0595705485828466,0.13,0.6
30,1978,45516,RISE UP EARLY CHILDHOOD,1257 W LOYOLA AVE,CHICAGO,IL,60626,16,COOK,17031,42.00119,-87.66329,CHILD DAY CARE CENTERS,POINT (-87.66329 42.00119),2158,17,31,10503,17031010503,42.00032071943175,-87.66312616252857,0.0607127698580983,0.815,3.433333333333333
31,1721,45259,GADS HILL CENTER AFTER SCHOOL,1919 WEST CULLERTON,CHICAGO,IL,60608,74,COOK,17031,41.85494,-87.67424,CHILD DAY CARE CENTERS,POINT (-87.67424 41.85494),1916,17,31,310900,17031310900,41.85577165360454,-87.67467409535566,0.0617176589431873,0.342,1.1833333333333333
32,2004,45542,FORESIGHT CHILDREN LEARNING CENTER,101 E 69TH ST NUMBER 115,CHICAGO,IL,60637,86,COOK,17031,41.76908,-87.62141,CHILD DAY CARE CENTERS,POINT (-87.62141 41.76908),1937,17,31,690400,17031690400,41.76925900891923,-87.62020386941192,0.0634411478851041,0.126,0.45
33,2050,45588,NORTHWESTERN UNIVERSITY SETTLEMENT - ROWE,1420 W AUGUSTA BLVD,CHICAGO,IL,60642,60,COOK,17031,41.90003,-87.6637,CHILD DAY CARE CENTERS,POINT (-87.6637 41.90003),903,17,31,242000,17031242000,41.89973715025454,-87.66495365214334,0.0676446634723688,0.465,1.7166666666666666
34,25,43561,MARSHALL FIRST STEP ACADEMY,1414 ARCHER AVE,MARSHALL,IL,62441,40,CLARK,17023,39.39467,-87.68668,CHILD DAY CARE CENTERS,POINT (-87.68668 39.39467),518,17,23,60200,17023060200,39.39547533238009,-87.68595078866078,0.0679856651585787,0.085,0.5166666666666667
35,2400,45939,THE NEXT GENERATION DAYCARE CENTER INC,21 E 59TH ST,CHICAGO,IL,60637,43,COOK,17031,41.78708,-87.62456,CHILD DAY CARE CENTERS,POINT (-87.62456 41.78708),666,17,31,834500,17031834500,41.78808233246706,-87.62473600135581,0.0699203968975205,0.137,0.8166666666666667
36,1670,45208,LITTLE BEAR CHILD DEVELOPMENT CENTER,653 PORTER ST,WAUKEGAN,IL,60085,82,LAKE,17097,42.36553,-87.83916,CHILD DAY CARE CENTERS,POINT (-87.83916 42.36553),2622,17,97,862401,17097862401,42.365670925816254,-87.84051716251479,0.0700394275945369,0.288,0.5833333333333334
37,2428,45967,SEEDS OF JOY DAYCARE AND FITNESS CTR INC,"850 W EASTWOOD AVE, STE 1",CHICAGO,IL,60640,36,COOK,17031,41.96666,-87.65136,CHILD DAY CARE CENTERS,POINT (-87.65136 41.96666),2198,17,31,31501,17031031501,41.96728856744478,-87.65243426432005,0.0703026526301802,0.16,0.7166666666666667
38,2783,46322,NEW EINSTEINS ACADEMY,1858 N DAMEN AVE,CHICAGO,IL,60647,45,COOK,17031,41.91561,-87.67786,CHILD DAY CARE CENTERS,POINT (-87.67786 41.91561),2113,17,31,831000,17031831000,41.91479812009421,-87.67699655114818,0.0716135935767219,0.55,2.683333333333333
39,2012,45550,THE LOVE LEARNING CENTER DAY CARE,228 E 61ST ST,CHICAGO,IL,60637,94,COOK,17031,41.78384,-87.62009,CHILD DAY CARE CENTERS,POINT (-87.62009 41.78384),1116,17,31,400800,17031400800,41.78286330067333,-87.62055800627418,0.0717385391656032,0.144,0.4166666666666667
40,1349,44887,CREATIVE DAY LEARNING CENTER,215 S LINCOLN ST,LOMBARD,IL,60148,20,DUPAGE,17043,41.88321,-88.02115,CHILD DAY CARE CENTERS,POINT (-88.02115 41.88321),702,17,43,843500,17043843500,41.882273873263706,-88.02178829528039,0.0726147760376779,0.125,0.8833333333333333
41,2853,46392,"THE UNIVERSITY CHILDCARE OF CHICAGO, INC",448 - 454 E 61ST STREET 1ST FL,CHICAGO,IL,60637,54,COOK,17031,41.78401,-87.61373,CHILD DAY CARE CENTERS,POINT (-87.61373 41.78401),1446,17,31,420600,17031420600,41.78301351215574,-87.6132776944952,0.0727652481249223,0.142,0.7166666666666667
42,347,43884,DECATUR DAY CARE CENTER,2074 E LAKE SHORE DRIVE,DECATUR,IL,62521,149,MACON,17115,39.82827,-88.92915,CHILD DAY CARE CENTERS,POINT (-88.92915 39.82827),2665,17,115,1200,17115001200,39.82867965817135,-88.930414353477,0.0728927646310738,0.142,0.48333333333333334
43,383,43920,GLENVIEW COMMUNITY CHURCH NURSERY SCHOOL,1000 ELM STREET,GLENVIEW,IL,60025,94,COOK,17031,42.07293,-87.81044,CHILD DAY CARE CENTERS,POINT (-87.81044 42.07293),1273,17,31,802100,17031802100,42.0722617927027,-87.81154438063022,0.073152056667982,0.17,0.6666666666666666
44,2794,46333,NEW GENERATION EDUCATOR LLC (DBA IGELC),1455 SOUTH MICHIGAN AVE,CHICAGO,IL,60605,267,COOK,17031,41.86255,-87.62362,CHILD DAY CARE CENTERS,POINT (-87.62362 41.86255),326,17,31,330102,17031330102,41.86357211553256,-87.62398831496843,0.0731986009496985,0.169,1.0166666666666666
45,2028,45566,LITTLE LEADERS ACADEMY,1856 W 69TH ST NUMBER 58,CHICAGO,IL,60636,20,COOK,17031,41.76848,-87.671001,CHILD DAY CARE CENTERS,POINT (-87.671001 41.76848),1985,17,31,671500,17031671500,41.768172252118696,-87.66963136796915,0.0737934467164949,0.307,0.8666666666666667
46,2636,46175,SINAI PRESCHOOL,15 W DELAWARE PL,CHICAGO,IL,60610,36,COOK,17031,41.89916,-87.62895,CHILD DAY CARE CENTERS,POINT (-87.62895 41.89916),1761,17,31,81100,17031081100,41.90022117745829,-87.62910486945233,0.0738306545859728,0.545,1.9
47,470,44007,KIDZ KORNER DAYCARE AND KIDZ ZONE AFT S.C.,246 S 13TH AVE,MAYWOOD,IL,60153,24,COOK,17031,41.88434,-87.84926,CHILD DAY CARE CENTERS,POINT (-87.84926 41.88434),1660,17,31,817300,17031817300,41.88408132010722,-87.84784808199684,0.0748756390511077,0.512,1.6833333333333333
48,2327,45866,VILLAGE OF HOPE LEARNING CENTER,1400 S KOLIN AVE NUMBER 1408,CHICAGO,IL,60623,70,COOK,17031,41.86214,-87.73392,CHILD DAY CARE CENTERS,POINT (-87.73392 41.86214),1249,17,31,290900,17031290900,41.862410315106544,-87.73245668751481,0.077663072718086,0.176,0.6166666666666667
49,2384,45923,LAKE SHORE SCHOOLS ROGERS PARK,6759 N GREENVIEW AVE,CHICAGO,IL,60626,208,COOK,17031,42.00517,-87.66795,"CHILD DAY CARE, BEFORE OR AFTER SCHOOL, SEPARATE FROM SCHOOLS",POINT (-87.66795 42.00517),1398,17,31,10600,17031010600,42.006277592259714,-87.66768304345423,0.0778282643479728,0.884,3.6666666666666665
50,841,44379,"ALPHABET LEARNING CENTER 3, INC.",6958 W WINDSOR AVE,BERWYN,IL,60402,81,COOK,17031,41.83207,-87.79738,CHILD DAY CARE CENTERS,POINT (-87.79738 41.83207),2742,17,31,815400,17031815400,41.83137044188369,-87.79619105095244,0.0780761744044906,0.203,1.1333333333333333
51,957,44495,THE GODDARD SCHOOL,9651 GROSS POINT RD,SKOKIE,IL,60076,188,COOK,17031,42.05645,-87.73799,CHILD DAY CARE CENTERS,POINT (-87.73799 42.05645),1267,17,31,806801,17031806801,42.05638138669192,-87.73953789426925,0.0796348833210817,0.825,3.183333333333333
52,2200,45738,BRIDGEPORT / SUMNER ERBA HEAD START,832 MADISON ST,BRIDGEPORT,IL,62417,17,LAWRENCE,17101,38.71027,-87.76453,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",POINT (-87.76453 38.71027),812,17,101,880900,17101880900,38.70990417259561,-87.76593219237441,0.0797981383409001,0.177,0.65
53,152,43689,HOWARD MOHR COMMUNITY CENTER,7640 JACKSON BLVD,FOREST PARK,IL,60130,60,COOK,17031,41.87541,-87.81548,CHILD DAY CARE CENTERS,POINT (-87.81548 41.87541),2748,17,31,816000,17031816000,41.87637580523915,-87.81634729304068,0.0803596405083275,0.225,1.0
54,2434,45973,LEARNING THROUGH PLAY CHILD DEV CENTER,4310 W FULLERTON AVE,CHICAGO,IL,60639,49,COOK,17031,41.9246,-87.73455,CHILD DAY CARE CENTERS,POINT (-87.73455 41.9246),1641,17,31,200300,17031200300,41.92348054196371,-87.7341263764247,0.08044053985407,0.55,1.9666666666666666
55,2569,46108,METROPOLITAN FAMILY SERVICES LOOMIS,5338 S LOOMIS BLVD,CHICAGO,IL,60609,122,COOK,17031,41.79658,-87.66003,"CHILD DAY CARE, BEFORE OR AFTER SCHOOL, SEPARATE FROM SCHOOLS",POINT (-87.66003 41.79658),993,17,31,611900,17031611900,41.79774308328052,-87.65982263907897,0.0811549254748821,0.129,0.3333333333333333
56,2310,45849,LINCOLN PARK PREPARATORY,108 W GERMANIA PL,CHICAGO,IL,60610,87,COOK,17031,41.91038,-87.63206,CHILD DAY CARE CENTERS,POINT (-87.63206 41.91038),2552,17,31,80201,17031080201,41.909497569694565,-87.63100510505922,0.0816932280739463,0.192,0.8666666666666667
57,1226,44764,WORD OF LIFE EV. LUTHERAN CHURCH,879 TUDOR DR,NAPERVILLE,IL,60563,20,DUPAGE,17043,41.7849,-88.19557,CHILD DAY CARE CENTERS,POINT (-88.19557 41.7849),2457,17,43,846412,17043846412,41.78431629840773,-88.19417936221646,0.0823046682448143,0.199,0.9833333333333333
58,1815,45353,THE MOLINE KIDS CAMPUS LLC,1505 7TH ST,MOLINE,IL,61265,102,ROCK ISLAND,17161,41.49777,-90.52818,CHILD DAY CARE CENTERS,POINT (-90.52818 41.49777),1363,17,161,22200,17161022200,41.49888839022627,-90.52872368281916,0.0823240967774407,0.145,0.6666666666666666
59,2618,46157,PARK WEST COOPERATIVE NURSERY SCHOOL,2214 N BISSELL ST,CHICAGO,IL,60614,60,COOK,17031,41.92226,-87.65255,CHILD DAY CARE CENTERS,POINT (-87.65255 41.92226),1873,17,31,71100,17031071100,41.92177782219817,-87.65106140314478,0.0835543342285213,0.17,1.15
60,1009,44547,OAK PARK AND RIVER FOREST DAY NURSERY,1139 RANDOLPH STREET,OAK PARK,IL,60302,77,COOK,17031,41.88319,-87.80404,CHILD DAY CARE CENTERS,POINT (-87.80404 41.88319),2318,17,31,812801,17031812801,41.88318784606665,-87.80241466166318,0.0836979771787148,0.136,0.6
61,2436,45975,L AND L LUVABLE DAY CARE INC,2540 E 83RD ST,CHICAGO,IL,60617,23,COOK,17031,41.74467,-87.56208,CHILD DAY CARE CENTERS,POINT (-87.56208 41.74467),1176,17,31,460400,17031460400,41.74449055811051,-87.56369222540243,0.084123082072319,0.134,0.25
62,2566,46105,FIFTH CITY CHILD DEVEL INSTITUTE INCORP.,3411 W 5TH AVE BLDG C,CHICAGO,IL,60624,88,COOK,17031,41.87676,-87.71179,CHILD DAY CARE CENTERS,POINT (-87.71179 41.87676),924,17,31,271400,17031271400,41.87724292757804,-87.71333137218642,0.0861231367972833,0.315,0.6333333333333333
63,2318,45857,NEW AGE CHILDREN'S PREPARATOR ACADEMY,8938 - 40 SOUTH COTTAGE GROVE AV,CHICAGO,IL,60619,66,COOK,17031,41.73178,-87.605,CHILD DAY CARE CENTERS,POINT (-87.605 41.73178),1079,17,31,440800,17031440800,41.73171156919594,-87.60332792910984,0.0864378378685493,0.204,1.2666666666666666
64,2603,46142,MONTESSORI PRIVATE ACADEMY INC,8101 SAYER RD,ROCKFORD,IL,61108,16,WINNEBAGO,17201,42.25442,-88.95921,CHILD DAY CARE CENTERS,POINT (-88.95921 42.25442),2511,17,201,514,17201000514,42.255620810535085,-88.95970700252151,0.0868668629861382,0.62,1.5666666666666667
65,2096,45634,LEAPS OF LEARNING CHILD CARE CENTER INC,9011 S COTTAGE GROVE AVE NUMBER 901,CHICAGO,IL,60619,50,COOK,17031,41.73072,-87.60438,CHILD DAY CARE CENTERS,POINT (-87.60438 41.73072),1079,17,31,440800,17031440800,41.73171156919594,-87.60332792910984,0.0874809349329476,0.931,3.3333333333333335
66,725,44263,BOTTLES2BOOKS QUALITY CHILDCARE ACAD INC,19510 N CREEK DR,LYNWOOD,IL,60411,104,COOK,17031,41.542182,-87.55995,CHILD DAY CARE CENTERS,POINT (-87.55995 41.542182),1481,17,31,828505,17031828505,41.54321734933112,-87.56092873555951,0.0877246594829243,0.155,0.38333333333333336
67,2620,46159,DR. EFFIE O ELLIS YMCA DAY CARE CENTER,10 S KEDZIE AVE,CHICAGO,IL,60612,40,COOK,17031,41.880601,-87.706101,CHILD DAY CARE CENTERS,POINT (-87.706101 41.880601),247,17,31,836900,17031836900,41.88188305458552,-87.70613618169075,0.0886948863180908,0.142,0.3
