objectid,name,address,city,state,zip,population,county,countyfips,latitude,longitude,naics_desc
43591,little sprouts daycare and preschool llc,"200 s school st, ste b",lanark,il,61046,158,carroll,17015,42.10057,-89.82681,child day care centers
43592,cefs head start 0 - 5 program - louisville,211 n. lynn,louisville,il,62858,20,clay,17025,38.77263,-88.50409,"head start programs, separate from schools"
43593,"buckeroo early education center, inc.",826 lamson st,flora,il,62839,91,clay,17025,38.67461,-88.49603,child day care centers
43594,the learning zone,3322 moultrie ave,mattoon,il,61938,102,coles,17029,39.48874,-88.39777,child day care centers
43595,building blocks play and learning center,3601 1/2 marshall ave,mattoon,il,61938,72,coles,17029,39.47779,-88.40115,child day care centers
43596,immanuel lutheran early childhood center,902 cleveland ave,charleston,il,61920,68,coles,17029,39.47854,-88.17139,child day care centers
43597,stepping stones children's center ii llc,240 decker springs rd,charleston,il,61920,77,coles,17029,39.50136,-88.1958,child day care centers
43598,the little school house,616 broadway ave,mattoon,il,61938,51,coles,17029,39.48262,-88.36103,child day care centers
43599,cornerstone christian academy,661 castle dr number b,charleston,il,61920,173,coles,17029,39.5007,-88.19256,child day care centers
43600,erba charleston ii head start,707 windsor rd number a,charleston,il,61920,18,coles,17029,39.50174,-88.19257,"head start programs, separate from schools"
43601,kindercare learning center number 301730,7965 175th st,tinley park,il,60477,160,cook,17031,41.57249,-87.81114,child day care centers
43602,christ the king lutheran preschool,100 w michigan ave,palatine,il,60067,20,cook,17031,42.09772,-88.04642,child day care centers
43603,northwest suburban day care center,1755 howard ave,des plaines,il,60018,36,cook,17031,42.01658,-87.88087,child day care centers
43604,oak lawn day nursery,6343 w 90th pl,oak lawn,il,60453,61,cook,17031,41.72768,-87.77882,child day care centers
43605,palatine park dist preschool - birchwood,435 west illinois avenue,palatine,il,60067,20,cook,17031,42.09581,-88.05427,child day care centers
43606,palatine pk dist preschool - eagle,1475 n oak st,palatine,il,60067,20,cook,17031,42.137961,-88.038702,child day care centers
43607,riverside presbyterian preschool,116 barrypoint road,riverside,il,60546,30,cook,17031,41.82411,-87.82216,child day care centers
43608,mary sear's children's academy,16807 108th ave,orland park,il,60467,159,cook,17031,41.58286,-87.88129,child day care centers
43609,the sandbox pre - school and kindergarten,14311 south 82nd avenue,orland park,il,60462,88,cook,17031,41.63068,-87.81954,child day care centers
43610,tompkins tiny tots preschool and kndg.,15720 dixie highway,markham,il,60426,41,cook,17031,41.603623,-87.668992,child day care centers
43611,trinity preschool,605 west golf road,mount prospect,il,60056,52,cook,17031,42.04741,-87.94579,child day care centers
43612,wesley child care center at lyon school,1335 waukegan rd,glenview,il,60025,86,cook,17031,42.07866,-87.79843,child day care centers
43613,willow wood preschool,684 oak st,winnetka,il,60093,63,cook,17031,42.10451,-87.72997,child day care centers
43614,wilmette community nursery school,1125 wilmette ave,wilmette,il,60091,60,cook,17031,42.07829,-87.70541,child day care centers
43615,jcys iris and steven podolsky family ct,2112 w lawrence ave,chicago,il,60625,113,cook,17031,41.96904,-87.68212,child day care centers
43616,zion lutheran early childhood center,17100 69th ave,tinley park,il,60477,50,cook,17031,41.57981,-87.78774,child day care centers
43617,kensington school of the highlands,1900 58th place,la grange,il,60525,103,cook,17031,41.78396,-87.89321,child day care centers
43618,noah's ark preschool,9230 s pulaski rd,oak lawn,il,60453,45,cook,17031,41.72498,-87.72212,child day care centers
43619,tutor time child care learning center,1725 w golf rd,schaumburg,il,60194,144,cook,17031,42.04742,-88.12209,child day care centers
43620,kids academy,9233 shermer rd,morton grove,il,60053,78,cook,17031,42.04887,-87.80669,child day care centers
43621,little lambs llc,717 w randolph st,vandalia,il,62471,91,fayette,17051,38.96426,-89.09975,child day care centers
43622,prairieland kids day care and learning cen,519 bedford rd,morris,il,60450,40,grundy,17063,41.37186,-88.42919,child day care centers
43623,little learner children's academy two,27754 blue grass dr unit a,channahon,il,60410,42,grundy,17063,41.42275,-88.26955,child day care centers
43624,step by step child care center inc is,305 e division st,coal city,il,60416,30,grundy,17063,41.28715,-88.28107,"child day care, before or after school, separate from schools"
43625,step by step child care center inc es,300 n broadway st,coal city,il,60416,20,grundy,17063,41.29131,-88.28622,"child day care, before or after school, separate from schools"
43626,step by step child care center inc ecc,755 s carbon hill rd,coal city,il,60416,30,grundy,17063,41.27596,-88.30609,"child day care, before or after school, separate from schools"
43627,kids korner,405 w division st,coal city,il,60416,24,grundy,17063,41.28753,-88.29284,child day care centers
43628,wee play - wee learn,570 s 2nd st,hamilton,il,62341,25,hancock,17067,40.3887,-91.35701,child day care centers
43629,"sunbeam corner, inc.",645 s. oak st.,dallas city,il,62330,25,hancock,17067,40.63272,-91.16632,child day care centers
43630,cee ceez's imagination station preschool,60 richmond ave,mattoon,il,61938,75,coles,17029,39.48518,-88.35223,child day care centers
43631,erba - charleston head start,697 windsor rd,charleston,il,61920,20,coles,17029,39.50105,-88.19218,"head start programs, separate from schools"
43632,mattoon erba head start,2000 richmond ave,mattoon,il,61938,62,coles,17029,39.48522,-88.3792,"head start programs, separate from schools"
43633,child and family life education center,600 lincoln ave number buzzard,charleston,il,61920,25,coles,17029,39.484394,-88.175021,child day care centers
43634,charleston community early learning ctr,2206 4th st,charleston,il,61920,109,coles,17029,39.47538,-88.17697,child day care centers
43635,stepping stones children's center ii llc,2820 moultrie ave,mattoon,il,61938,82,coles,17029,39.4886,-88.39062,child day care centers
43636,community action head start - dewitt,45 cedar sq,clinton,il,61727,28,de witt,17039,40.14638,-88.96207,"head start programs, separate from schools"
43637,erba paris head start,507 connelly st,paris,il,61944,34,edgar,17045,39.617311,-87.693461,"head start programs, separate from schools"
43638,grace lutheran child development center,712 s central ave,paris,il,61944,88,edgar,17045,39.60505,-87.69594,child day care centers
43639,erba chrisman head start,111 pennsylvania st.,chrisman,il,61924,13,edgar,17045,39.803682,-87.67358,"head start programs, separate from schools"
43640,bright horizons child care and early ed,6107 n river rd,rosemont,il,60018,140,cook,17031,41.98675,-87.85921,child day care centers
43641,nurturing developmental learning academy,525 wentworth ave,calumet city,il,60409,161,cook,17031,41.62122,-87.5295,child day care centers
43642,schaumburg prk dist meineke center,220 e weathersfield way,schaumburg,il,60193,52,cook,17031,42.017,-88.07427,child day care centers
43643,minds over matter community childcare cn,91 w 154th st,harvey,il,60426,140,cook,17031,41.6099,-87.66182,child day care centers
43644,bright horizons at mount prospect,1020 s hunt club dr,mt prospect,il,60056,110,cook,17031,42.04694,-87.94499,child day care centers
43645,little shepherd preschool,9220 s kedzie ave,evergreen pk,il,60805,27,cook,17031,41.7254,-87.70227,child day care centers
43646,bright horizons at evanston,1629 orrington ave,evanston,il,60201,307,cook,17031,42.04754,-87.6805,child day care centers
43647,a - plus after school zone inc,1270 w northwest hwy,palatine,il,60067,53,cook,17031,42.12568,-88.07403,child day care centers
43648,la joie daycare llc,110 w boeger dr,arlington hts,il,60004,107,cook,17031,42.13777,-87.98374,child day care centers
43649,ginsburg solomon schechter ec center,4500 dempster st,skokie,il,60076,48,cook,17031,42.04129,-87.74061,child day care centers
43650,covenant day care center inc,14519 s torrence ave,burnham,il,60633,50,cook,17031,41.631,-87.55899,child day care centers
43651,little tots afterschool social center,646 sibley blvd,calumet city,il,60409,89,cook,17031,41.62337,-87.54013,child day care centers
43652,"effingham child development ctr.,inc.",1101 holly dr,effingham,il,62401,111,effingham,17049,39.13705,-88.55627,child day care centers
43653,lutheran care ctr kids enrichment ctr,610 w cumberland rd,altamont,il,62411,50,effingham,17049,39.05393,-88.75183,child day care centers
43654,montessori kids universe of effingham,2201 willenborg st,effingham,il,62401,95,effingham,17049,39.1426243,-88.5243511,child day care centers
43655,cefs head start 0 - 5 program - effingham,100 e market ave,effingham,il,62401,50,effingham,17049,39.12318,-88.541915,"head start programs, separate from schools"
43656,frog pond nursery school,107 lincoln avenue,altamont,il,62411,25,effingham,17049,39.058718,-88.74934,child day care centers
43657,st. john's eagle's nest preschool,901 west jefferson avenue,effingham,il,62401,60,effingham,17049,39.12205,-88.55267,child day care centers
43658,cefs head start 0 - 5 program - altamont,6 n 4th st,altamont,il,62411,20,effingham,17049,39.05991,-88.75108,"head start programs, separate from schools"
43659,little lamb's early childhood center,1800 s raney st number 1,effingham,il,62401,118,effingham,17049,39.10603,-88.56087,child day care centers
43660,treehouse day care and preschool inc,2309 hoffman dr,effingham,il,62401,115,effingham,17049,39.0994,-88.54436,child day care centers
43661,"treehouse, too","1207 network centre dr, ste 1",effingham,il,62401,190,effingham,17049,39.14331,-88.52604,child day care centers
43662,jellybean llc,708 e thomas st,mc leansboro,il,62859,44,hamilton,17065,38.09837,-88.52812,child day care centers
43663,hamilton county pre - school center,210 s pearl st,mc leansboro,il,62859,131,hamilton,17065,38.09193,-88.53866,child day care centers
43664,wadi hamilton center head start,110 e jefferson st,mc leansboro,il,62859,40,hamilton,17065,38.09547,-88.5354,"head start programs, separate from schools"
43665,s7hd / head start elizabethtown,rural route number 2,elizabethtown,il,62931,20,hardin,17069,37.4704,-88.29058,"head start programs, separate from schools"
43666,project now - colona center,700 1st st,colona,il,61241,40,henry,17073,41.47906,-90.35725,"child day care, before or after school, separate from schools"
43667,project n.o.w. / head start,109 south elm,kewanee,il,61443,60,henry,17073,41.243258,-89.922014,"head start programs, separate from schools"
43668,kewanee y.m.c.a. kiddie kollege,315 west first street,kewanee,il,61443,20,henry,17073,41.24341,-89.92888,child day care centers
43669,learning connections of galva,301 nw 4th ave,galva,il,61434,60,henry,17073,41.16929,-90.04659,child day care centers
43670,new horizons learning center and daycare,145 e division st,kewanee,il,61443,77,henry,17073,41.234503,-89.924898,child day care centers
43671,"geneseo development and growth, inc. number 2",541 e north st pob 172,geneseo,il,61254,68,henry,17073,41.45057,-90.14637,child day care centers
43672,first lutheran pre - school,114 east main street,geneseo,il,61254,20,henry,17073,41.44775,-90.15543,child day care centers
43673,charger child care,1112 division st,orion,il,61273,88,henry,17073,41.3533,-90.38708,child day care centers
43674,geneseo child care llc,20965 e 900th st,geneseo,il,61254,65,henry,17073,41.4542,-90.26055,child day care centers
43675,apk! too,510 colona rd,green rock,il,61241,22,henry,17073,41.48122,-90.35304,child day care centers
43676,sunny days learning center of stickney,6807 pershing rd number 9,stickney,il,60402,87,cook,17031,41.82113,-87.79321,child day care centers
43677,angel academy preschool,3131 181st st,lansing,il,60438,17,cook,17031,41.56659,-87.54042,child day care centers
43678,st blase early childhood development ctr,7438 w 61st pl,summit,il,60501,101,cook,17031,41.78014,-87.80722,child day care centers
43679,childrens 2nd language academy,3535 lincoln hwy,matteson,il,60443,47,cook,17031,41.50608,-87.70251,child day care centers
43680,northshore academy for children,1754 w devon ave number 56,chicago,il,60660,32,cook,17031,41.99829,-87.67448,child day care centers
43681,trinity lutheran pre - school,9701 brandt ave,oak lawn,il,60453,20,cook,17031,41.71621,-87.74462,child day care centers
43682,kensington school of western springs,1500 walker st,western sprgs,il,60558,122,cook,17031,41.80838,-87.90891,child day care centers
43683,"learning loft, inc.",655 n 1st bank dr,palatine,il,60067,102,cook,17031,42.12099,-88.03439,child day care centers
43684,thornton twsp h.s.dist 205 infant care,15001 broadway ave,harvey,il,60426,45,cook,17031,41.61715,-87.64453,child day care centers
43685,kindercare learning ctr number 301067,929 e palatine rd,palatine,il,60074,124,cook,17031,42.10968,-88.02071,child day care centers
43686,beatrice glasser nursery school,1235 n harlem ave,oak park,il,60302,70,cook,17031,41.903012,-87.805539,child day care centers
