objectid,name,address,city,state,zip,population,county,countyfips,latitude,longitude,naics_desc
44246,anointed childcare academy,300 ruby st,joliet,il,60435,33,will,17197,41.53772,-88.08825,child day care centers
44247,learning express preschool inc.,2800 black rd,joliet,il,60435,35,will,17197,41.53587,-88.15189,child day care centers
44248,discovery child care and learning cntr inc,101 e wapella st,minooka,il,60447,83,grundy,17063,41.45445,-88.26255,child day care centers
44249,lyon cubs day nursery,4262 joliet ave,lyons,il,60534,48,cook,17031,41.81297,-87.82072,child day care centers
44250,children's montessori language academy,5903 s county line rd,hinsdale,il,60521,16,cook,17031,41.782346,-87.916696,child day care centers
44251,bright horizons,1425 n dayton st,chicago,il,60642,60,cook,17031,41.90714,-87.64921,child day care centers
44252,wesley child care center at middlefork sch,405 wagner rd,northfield,il,60093,50,cook,17031,42.10268,-87.77995,"child day care, before or after school, separate from schools"
44253,"little hearts learning academy, inc",17542 crawford ave,cntry clb hls,il,60478,131,cook,17031,41.57083,-87.71457,child day care centers
44254,the childrens place learning academy inc,13 sauk plz,sauk village,il,60411,50,cook,17031,41.491728,-87.554011,child day care centers
44255,childrens land on milwaukee,1631 milwaukee ave,glenview,il,60025,117,cook,17031,42.08582,-87.86839,child day care centers
44256,see me grow and learn,1345 e golf rd,des plaines,il,60016,112,cook,17031,42.05384,-87.89054,child day care centers
44257,st mark preschool and enrichment center,200 s wille st,mt prospect,il,60056,40,cook,17031,42.06244,-87.93845,child day care centers
44258,alphabet learning center inc,9220 broadway ave number 22,brookfield,il,60513,65,cook,17031,41.82684,-87.85241,child day care centers
44259,future leaders learning center inc.,6145 north ave,oak park,il,60302,36,cook,17031,41.90895,-87.78044,child day care centers
44260,wunderkids learning center llc,"200 e fullerton ave, ste 1",northlake,il,60164,27,cook,17031,41.92199,-87.89865,child day care centers
44261,daylight learning center inc,318 e north ave,northlake,il,60164,72,cook,17031,41.90773,-87.89236,child day care centers
44262,let's play cermak inc,9025 w cermak rd,n riverside,il,60546,81,cook,17031,41.84925,-87.84859,child day care centers
44263,bottles2books quality childcare acad inc,19510 n creek dr,lynwood,il,60411,104,cook,17031,41.542182,-87.55995,child day care centers
44264,kindercare learning center number 301752,380 w 87th st,naperville,il,60565,141,will,17197,41.72595,-88.147,child day care centers
44265,tutor time child care learning center,8007 183rd st,tinley park,il,60477,147,will,17197,41.558258,-87.813309,child day care centers
44266,kid country childcare,14935 w bruns rd,manhattan,il,60442,109,will,17197,41.40981,-87.9752,child day care centers
44267,sandbox of homer glen,12030 w 159th st,homer glen,il,60491,121,will,17197,41.60028,-87.91174,child day care centers
44268,kla schools of plainfield,12456 s van dyke rd,plainfield,il,60585,108,will,17197,41.65544,-88.21537,child day care centers
44269,educare learning centers inc,3171 t hickey ave,joliet,il,60435,66,will,17197,41.55555,-88.15996,child day care centers
44270,primrose school at naperville crossings,2915 reflection dr,naperville,il,60564,184,will,17197,41.71146,-88.20934,child day care centers
44271,kiddie city learning center ltd,201 w dundee rd,palatine,il,60074,84,cook,17031,42.139275,-88.045639,child day care centers
44272,safari life b and a school youth center,20316 torrence ave unit a,lynwood,il,60411,80,cook,17031,41.52651,-87.55912,child day care centers
44273,pk's christian learning site 2 inc,9 north st,park forest,il,60466,82,cook,17031,41.49765,-87.67565,child day care centers
44274,bright horizons at skokie,9877 woods dr,skokie,il,60077,162,cook,17031,42.06061,-87.76027,"child day care, before or after school, separate from schools"
44275,childrens land on greenwood,222 greenwood rd,glenview,il,60025,171,cook,17031,42.05909,-87.84084,child day care centers
44276,agape child care learning center,1701 167th st,hazel crest,il,60429,65,cook,17031,41.58569,-87.65858,child day care centers
44277,illinois action for children dolton elc,729 engle st,dolton,il,60419,103,cook,17031,41.63029,-87.6043,child day care centers
44278,kids r our stars learning center,5333 w 25th st,cicero,il,60804,102,cook,17031,41.84539,-87.75801,child day care centers
44279,good shepherd's infant and toddler nursery,404 lake st,oak park,il,60302,20,cook,17031,41.88852,-87.78493,child day care centers
44280,schaumburg child development center,1122 westover ln,schaumburg,il,60193,99,cook,17031,42.00451,-88.12148,child day care centers
44281,"the shorewood early learning dcc, inc.",651 deerwood dr,shorewood,il,60404,103,will,17197,41.52378,-88.20479,child day care centers
44282,childtime learning center,2015 95th street,naperville,il,60564,131,will,17197,41.71084,-88.1887,child day care centers
44283,stacy jos daycare,915 w jefferson st,joliet,il,60435,61,will,17197,41.52328,-88.10404,child day care centers
44284,cornerstone early learning center,26359 w 135th st,plainfield,il,60544,58,will,17197,41.63584,-88.25881,child day care centers
44285,grace child care center,1718 avalon,joliet,il,60435,48,will,17197,41.53417,-88.12437,child day care centers
44286,first school,25610 s gougar rd,manhattan,il,60442,133,will,17197,41.42488,-88.00135,child day care centers
44287,kindercare learning ctr number 300340,530 seneca ln,bolingbrook,il,60440,85,will,17197,41.70441,-88.09023,child day care centers
44288,community nursery school and dcc,2 belmont dr,romeoville,il,60446,62,will,17197,41.64749,-88.08118,child day care centers
44289,bobbie noonan's child care llc,2504 fairway dr,joliet,il,60435,55,will,17197,41.52637,-88.14366,child day care centers
44290,the goddard school,1928 springbrook square dr,naperville,il,60564,160,dupage,17043,41.7321,-88.20251,child day care centers
44291,kiddie academy bolingbrook,"540 w boughton rd, ste a",bolingbrook,il,60440,166,will,17197,41.70776,-88.09083,child day care centers
44292,easter seal joliet region,212 barney drive,joliet,il,60435,40,will,17197,41.52628,-88.14272,child day care centers
44293,beecher preschool cooperative inc,725 west penfield,beecher,il,60401,18,will,17197,41.34277,-87.62952,child day care centers
44294,bobbie noonan's child care llc,13230 w cedar creek ct,homer glen,il,60491,124,will,17197,41.62795,-87.94233,child day care centers
44295,judah north,939 n pulaski rd number 41,chicago,il,60651,58,cook,17031,41.8984,-87.72585,child day care centers
44296,crickets learning center,3217 147th st,midlothian,il,60445,85,cook,17031,41.62564,-87.69929,child day care centers
44297,poko loko school inc,5645 dempster st,morton grove,il,60053,160,cook,17031,42.04066,-87.76858,child day care centers
44298,kiddie scholars too,22323 thomas dr,richton park,il,60471,77,cook,17031,41.48357,-87.74241,child day care centers
44299,hugs and snugs day care academy number 2,72 e 147th st,harvey,il,60426,57,cook,17031,41.62241,-87.65188,child day care centers
44300,bright minds academy inc,14633 winchester ave,harvey,il,60426,55,cook,17031,41.62325,-87.66396,child day care centers
44301,city childrens academy,825 w chicago ave,chicago,il,60642,95,cook,17031,41.89621,-87.64864,child day care centers
44302,happy days child dvelopment center,6304 26th st,berwyn,il,60402,104,cook,17031,41.84343,-87.78116,child day care centers
44303,little eye'n steins early dev ctr inc,59 w sibley blvd,south holland,il,60473,48,cook,17031,41.622637,-87.616157,child day care centers
44304,wicker park kid'z learning center,1064 n milwaukee ave apt 2w,chicago,il,60642,33,cook,17031,41.90107,-87.66335,child day care centers
44305,early childhood academia,8510 s cicero ave,burbank,il,60459,67,cook,17031,41.7377,-87.74118,child day care centers
44306,mother goose childrens academy inc,4112 183rd st,cntry clb hls,il,60478,146,cook,17031,41.55719,-87.71632,child day care centers
44307,jws frankfort llc dba the learning exper,20970 s la grange rd,frankfort,il,60423,138,will,17197,41.5086187,-87.8499288,child day care centers
44308,panda play school llc,590 n pinecrest rd,bolingbrook,il,60440,19,will,17197,41.716751,-88.050281,child day care centers
44309,the learning experience - bolingbrook,1281 115th st,bolingbrook,il,60490,99,will,17197,41.67469,-88.12385,child day care centers
44310,sandcastle academy,300 read st,lockport,il,60441,23,will,17197,41.59389,-88.036382,child day care centers
44311,little feet big dreams learning academy,5701 w monee manhattan rd,monee,il,60449,42,will,17197,41.4262533,-87.7503066,child day care centers
44312,channahon united methodist preschool,24751 w eames st,channahon,il,60410,20,will,17197,41.43714,-88.21295,child day care centers
44313,the goddard school,5005 theodore st,plainfield,il,60586,138,will,17197,41.5509,-88.20497,child day care centers
44314,"tle at naperville, llc",2816 hassert blvd,naperville,il,60564,98,will,17197,41.680668,-88.204249,child day care centers
44315,little learner children's academy,20611 w renwick rd,crest hill,il,60403,148,will,17197,41.59496,-88.11818,child day care centers
44316,smart start academy,"13250 s route 59, ste 100",plainfield,il,60585,68,will,17197,41.643369,-88.203318,child day care centers
44317,catholic charities rockdale headstart,1215 houbolt rd bldg a rm 1510,joliet,il,60431,20,will,17197,41.49981,-88.168731,"head start programs, separate from schools"
44318,kensington school of arlington heights,840 e kensington rd,arlington hts,il,60004,150,cook,17031,42.08149,-87.97147,child day care centers
44319,ecole 360 child development center llc,1540 w algonquin rd,palatine,il,60067,105,cook,17031,42.08123,-88.0805,child day care centers
44320,blooming minds academy day care,581 n wolf rd,wheeling,il,60090,67,cook,17031,42.14954,-87.91414,child day care centers
44321,alphabet learning center 2,3726 grand blvd,brookfield,il,60513,70,cook,17031,41.82296,-87.84541,child day care centers
44322,cornerstone montessori,7716 w 26th st,n riverside,il,60546,10,cook,17031,41.84318,-87.81646,child day care centers
44323,good shepherd's learning center,326 lake st number 328,oak park,il,60302,41,cook,17031,41.88852,-87.78426,child day care centers
44324,our loving arms childcare inc number 3,831 s halsted st,chicago hts,il,60411,61,cook,17031,41.5164,-87.63522,child day care centers
44325,little magnolias childcare center inc,7316 w north ave,elmwood park,il,60707,76,cook,17031,41.90909,-87.80918,child day care centers
44326,"montessori children's community, inc.",3424 maple ave,brookfield,il,60513,12,cook,17031,41.82838,-87.85172,child day care centers
44327,the world is your's child care and lc,11840 s laporte ave,alsip,il,60803,21,cook,17031,41.67699,-87.74316,child day care centers
44328,chosen ones learning center,848 ferdinand ave,forest park,il,60130,26,cook,17031,41.87054,-87.81256,child day care centers
44329,petals child care,1039 dixie hwy,chicago hts,il,60411,77,cook,17031,41.51155,-87.64288,child day care centers
44330,calling all scholars learning center,131 w 159th st number 139,harvey,il,60426,66,cook,17031,41.60122,-87.66375,child day care centers
44331,aventuras en panales inc,3030 s laramie ave,cicero,il,60804,60,cook,17031,41.83693,-87.75388,child day care centers
44332,creative paths infant center,5121 dempster st,skokie,il,60077,24,cook,17031,42.04065,-87.7554,child day care centers
44333,the goddard school,11900 francis rd,mokena,il,60448,196,will,17197,41.52913,-87.90784,child day care centers
44334,cadence academy preschool,2520 s eola rd,aurora,il,60503,157,will,17197,41.70715,-88.25288,child day care centers
44335,mary sears childrens academy,16151 s farrell rd,lockport,il,60441,103,will,17197,41.593561,-88.026181,child day care centers
44336,good shepherd head start,151 e briarcliff rd,bolingbrook,il,60440,88,will,17197,41.69857,-88.06516,"head start programs, separate from schools"
44337,first friends christian preschool,305 e boughton rd,bolingbrook,il,60440,20,will,17197,41.7143,-88.05968,child day care centers
44338,"douglas, mary",21133 division st,crest hill,il,60403,44,will,17197,41.58009,-88.12998,child day care centers
44339,kindercare learning center number 301002,2605 black rd,joliet,il,60435,120,will,17197,41.53667,-88.14678,child day care centers
44340,our savior lutheran preschool,1910 black road,joliet,il,60435,59,will,17197,41.53706,-88.12882,child day care centers
44341,wheatland salem christian academy,1852 95th st,naperville,il,60564,254,will,17197,41.71009,-88.18284,child day care centers
44342,cherie's garden day care inc,3425 donovan drive,crete,il,60417,92,will,17197,41.46917,-87.5893,child day care centers
44343,little blessings preschool of alleluia!,4055 book rd,naperville,il,60564,196,will,17197,41.69464,-88.187,child day care centers
44344,immanuel lutheran preschool,10731 w la porte rd,mokena,il,60448,50,will,17197,41.52619,-87.87774,child day care centers
44345,little blossom early education,19245 everett ln,mokena,il,60448,101,will,17197,41.5401,-87.85515,child day care centers
44346,tini tots day care center inc,2210 plainfield rd,crest hill,il,60435,33,will,17197,41.562089,-88.13666,child day care centers
44347,north shore university health system cdc,"1000 central st, ste 100",evanston,il,60201,84,cook,17031,42.06419,-87.68508,child day care centers
44348,luna park daycare inc,88 n broadway st,des plaines,il,60016,46,cook,17031,42.05305,-87.91029,child day care centers
44349,dreamers at palatine,345 n quentin rd,palatine,il,60067,68,cook,17031,42.11646,-88.06271,child day care centers
44350,favored kids daycare and learning academy,1235 e sibley blvd,dolton,il,60419,48,cook,17031,41.622661,-87.586712,child day care centers
44351,heaven's angels learning center,3920 216th st,matteson,il,60443,100,cook,17031,41.49778,-87.71245,child day care centers
44352,precious ones development academy,11600 s pulaski rd,alsip,il,60803,64,cook,17031,41.68188,-87.72042,child day care centers
44353,hugs and snugs day care academy,550 torrence ave number 552,calumet city,il,60409,82,cook,17031,41.61978,-87.55918,child day care centers
44354,farm and nature discovery at the center,12700 southwest hwy,palos park,il,60464,70,cook,17031,41.65764,-87.838452,child day care centers
44355,"children's home center, inc",1664 dolton rd,calumet city,il,60409,145,cook,17031,41.63125,-87.56645,child day care centers
44356,la branche's childcare center,1644 vincennes ave,chicago hts,il,60411,80,cook,17031,41.50108,-87.63784,child day care centers
44357,little footprints childcare center,20915 s cicero ave,matteson,il,60443,88,cook,17031,41.5096,-87.73212,child day care centers
44358,academy for children ii,19131 burnham ave,lansing,il,60438,40,cook,17031,41.54728,-87.53877,child day care centers
44359,millie's house kedzie,3026 n kedzie ave number 3030,chicago,il,60618,113,cook,17031,41.93656,-87.7077,child day care centers
44360,my little star daycare center,4315 w 63rd st,chicago,il,60629,30,cook,17031,41.77836,-87.73071,child day care centers
44361,peques wiggles and giggles lrng cntr inc number 2,2618 ridgeland ave,berwyn,il,60402,56,cook,17031,41.84268,-87.78352,child day care centers
44362,kindercare learning center 000607,1653 n baldwin rd,palatine,il,60074,140,cook,17031,42.14382,-88.01404,child day care centers
44363,kindercare learning center 000136,838 n quentin rd,palatine,il,60067,103,cook,17031,42.12591,-88.0631,child day care centers
44364,parent and child together for west centr,2090 highway 24,camp point,il,62320,32,adams,17001,40.03868,-91.109601,child day care centers
44365,alcuin montessori school,6942 roosevelt rd,oak park,il,60304,65,cook,17031,41.8653,-87.79842,child day care centers
44366,jump for joy south,3833 s harlem ave,berwyn,il,60402,71,cook,17031,41.82178,-87.80219,child day care centers
44367,kiddie academy of lincoln square,4874 n lincoln ave,chicago,il,60625,166,cook,17031,41.97063,-87.69022,child day care centers
44368,daycare children's world inc.,652b n northwest hwy,park ridge,il,60068,25,cook,17031,42.01928,-87.84352,child day care centers
44369,sound garden,149 s milwaukee ave,wheeling,il,60090,82,cook,17031,42.13767,-87.90554,child day care centers
44370,children's home center too inc,3236 union ave,steger,il,60475,162,cook,17031,41.47194,-87.63337,child day care centers
44371,montessori children's community,1905 e 31st st,la grange pk,il,60526,20,cook,17031,41.83506,-87.85264,child day care centers
44372,abundant day care center,16299 wallace st,harvey,il,60426,44,cook,17031,41.59413,-87.62953,child day care centers
44373,kidds palace learning academy llc,266 somonauk st,park forest,il,60466,62,cook,17031,41.47169,-87.6984,child day care centers
44374,stepping stones learning institution,8509 s pulaski rd number 11,chicago,il,60652,29,cook,17031,41.73815,-87.721542,child day care centers
44375,the learning experience at lemont,15434 e 127th st,lemont,il,60439,169,cook,17031,41.65593,-87.99709,child day care centers
44376,mary sears childrens academy,9600 king st,franklin park,il,60131,103,cook,17031,41.9414877,-87.866796,child day care centers
44377,cflc after school zone,2450 e state st,burnham,il,60633,57,cook,17031,41.630031,-87.561002,child day care centers
44378,keystone montessori school,7415 north ave,river forest,il,60305,16,cook,17031,41.90838,-87.81104,child day care centers
44379,"alphabet learning center 3, inc.",6958 w windsor ave,berwyn,il,60402,81,cook,17031,41.83207,-87.79738,child day care centers
44380,christies carousel of learning inc,1300 w crescent ave,park ridge,il,60068,142,cook,17031,42.0072,-87.842552,child day care centers
44381,our shining star academy inc,785 e 142nd st,dolton,il,60419,50,cook,17031,41.63688,-87.59869,child day care centers
44382,little angel's child care and preschool,1400 n 8th st,quincy,il,62301,119,adams,17001,39.94864,-91.40279,child day care centers
44383,10th street children's academy,208 s 10th st,quincy,il,62301,152,adams,17001,39.93009,-91.40026,child day care centers
44384,kiddie korner day care center,4000 state st,quincy,il,62305,109,adams,17001,39.92521,-91.35254,child day care centers
44385,cheerful home childcare and early learning,315 s 5th st,quincy,il,62301,170,adams,17001,39.92874,-91.40842,child day care centers
44386,kripa montessori school,379 bartlett plz,bartlett,il,60103,89,cook,17031,41.98795,-88.18118,child day care centers
44387,el ruisenor rojo academy,5100 w foster ave,chicago,il,60630,47,cook,17031,41.97539,-87.7555,child day care centers
44388,everbrook academy,538 w diversey pkwy,chicago,il,60614,134,cook,17031,41.93282,-87.643142,child day care centers
44389,intercultural montessori language school,301 s ridgeland ave,oak park,il,60302,16,cook,17031,41.8832,-87.784531,child day care centers
44390,ecole 360 childcare llc,1071 s roselle rd,schaumburg,il,60193,131,cook,17031,42.008291,-88.080012,child day care centers
44391,the learning lab preschool inc,18725 dixie hwy number 27,homewood,il,60430,77,cook,17031,41.54894,-87.665057,child day care centers
44392,the learning experience,343 w dundee rd,wheeling,il,60090,53,cook,17031,42.1381916,-87.9252836,child day care centers
44393,kiddie academy of glenview,662 waukegan rd,glenview,il,60025,151,cook,17031,42.067331,-87.799832,child day care centers
44394,nico's babies and preschool,901 e 104th st,chicago,il,60628,26,cook,17031,41.70566,-87.601461,child day care centers
44395,heartz and mindz learning center,10008 w roosevelt rd,westchester,il,60154,63,cook,17031,41.86352,-87.873361,child day care centers
44396,doll baby learning center i inc,1400 w garfield blvd,chicago,il,60609,78,cook,17031,41.79436,-87.65993,child day care centers
44397,davinci academy cdc streamwood,83 w irving park rd,streamwood,il,60107,44,cook,17031,42.013631,-88.184262,child day care centers
44398,kiddie college learning center llc,8046 s western ave number 50,chicago,il,60620,30,cook,17031,41.74691,-87.68317,child day care centers
44399,blessing lauretta m. eno child care,615 n 10th st,quincy,il,62301,396,adams,17001,39.93871,-91.40053,child day care centers
44400,charming children learning academy,3337 w chicago ave,chicago,il,60651,54,cook,17031,41.89531,-87.71042,child day care centers
44401,the grand child care center,5945 w grand ave,chicago,il,60639,21,cook,17031,41.92036,-87.77485,child day care centers
44402,the learning tree of elgin east llc,845 summit st,elgin,il,60120,179,cook,17031,42.04644,-88.25804,child day care centers
44403,happy moomins day care,11 s wolf rd,prospect hts,il,60070,15,cook,17031,42.09463,-87.908322,child day care centers
44404,intercultural montessori language school,"114 s racine ave, ste 100",chicago,il,60607,32,cook,17031,41.87963,-87.65742,child day care centers
44405,early achievers academy llc,450 e 83rd st,chicago,il,60619,42,cook,17031,41.74404,-87.61263,child day care centers
44406,chicago children's house river west,740 n milwaukee ave,chicago,il,60642,52,cook,17031,41.8953,-87.653952,child day care centers
44407,tick tock hourly child care,197 northfield rd,northfield,il,60093,61,cook,17031,42.09697,-87.77039,child day care centers
44408,rising above the stars academy inc,611 wentworth ave,calumet city,il,60409,45,cook,17031,41.61793,-87.52947,child day care centers
44409,princess and king learning academy,104 w 144th st,riverdale,il,60827,89,cook,17031,41.633451,-87.624862,child day care centers
44410,children's world daycare center,5911 n lincoln ave,chicago,il,60659,86,cook,17031,41.98873,-87.70412,child day care centers
44411,little friends preschool,5600 n ashland ave,chicago,il,60660,11,cook,17031,41.983601,-87.669831,child day care centers
44412,creative kids daycare center number 2,3300 w 55th st,chicago,il,60632,28,cook,17031,41.793461,-87.706161,child day care centers
44413,tweety dee's daycare center inc,7322 s damen ave,chicago,il,60636,16,cook,17031,41.76044,-87.67365,child day care centers
44414,guidepost montessori at evanston,1012 davis st,evanston,il,60201,53,cook,17031,42.04708,-87.685702,child day care centers
44415,everbrook academy,501 busse hwy,park ridge,il,60068,150,cook,17031,42.016611,-87.841732,child day care centers
44416,kids island learning center ii,8383 belmont ave,river grove,il,60171,110,cook,17031,41.9372386,-87.8349056,child day care centers
44417,rainforest learning center inc,1144 w madison st,chicago,il,60607,96,cook,17031,41.881621,-87.656052,child day care centers
44418,tinker bell academy ii,8236 s cottage grove ave,chicago,il,60619,78,cook,17031,41.74467,-87.60535,child day care centers
44419,kiddie academy of lemont,15907 w 127th st,lemont,il,60439,181,cook,17031,41.65647,-88.006462,child day care centers
44420,doll baby learning center ii inc,1155 w 81st st,chicago,il,60620,77,cook,17031,41.74672,-87.65346,child day care centers
44421,kids space academy number 1 inc,8912 s commercial ave,chicago,il,60617,32,cook,17031,41.73325,-87.55159,child day care centers
44422,graham crackers daycare center iii inc,401 e 111th st,chicago,il,60628,37,cook,17031,41.692751,-87.613202,child day care centers
44423,little muslims childcare,4035 dempster st,skokie,il,60076,14,cook,17031,42.04037,-87.72931,child day care centers
44424,cuddle care child care center,150 w 137th st,riverdale,il,60827,139,cook,17031,41.646731,-87.624031,child day care centers
44425,living the language,243 e 31st st,chicago,il,60616,24,cook,17031,41.83839,-87.620531,child day care centers
44426,children's land at mount prospect,621 n main st,mt prospect,il,60056,150,cook,17031,42.0787745,-87.9361611,child day care centers
44427,learn together grow together cdc iv,3641 sauk trl,richton park,il,60471,67,cook,17031,41.4841,-87.70497,child day care centers
44428,the growing patch daycare inc,15045 state st,south holland,il,60473,39,cook,17031,41.6214,-87.617112,child day care centers
44429,guidepost montessori at schaumburg,22 kristin dr,schaumburg,il,60195,42,cook,17031,42.058021,-88.080622,child day care centers
44430,little blossoms learning center inc,7543 w 63rd st,summit,il,60501,25,cook,17031,41.777111,-87.809842,child day care centers
44431,kid's station inc.,7777 w 159th st,tinley park,il,60477,33,cook,17031,41.6016,-87.80865,child day care centers
44432,caywoods youth center iii inc,3700 e lake ctr,quincy,il,62305,164,adams,17001,39.9294432,-91.3563432,child day care centers
44433,katie's country kids inc,850 w wall st,mulberry grv,il,62262,63,bond,17005,38.92326,-89.27827,child day care centers
44434,tender care early learning center,1901 s 9th ave,maywood,il,60153,68,cook,17031,41.86972,-87.84334,child day care centers
44435,little ones preschool,3433 walters ave,northbrook,il,60062,95,cook,17031,42.1268,-87.86386,child day care centers
44436,kiddie town learning center,3588 milwaukee ave,northbrook,il,60062,54,cook,17031,42.08788,-87.871181,child day care centers
44437,sticks and stones preschool,1840 westchester blvd,westchester,il,60154,40,cook,17031,41.85299,-87.877032,child day care centers
44438,knowledge beginnings glenview,2401 compass rd,glenview,il,60026,148,cook,17031,42.09901,-87.81738,child day care centers
44439,little university inc,2501 n chestnut ave,arlington hts,il,60004,20,cook,17031,42.12149,-87.98454,child day care centers
44440,swift child care,8260 elmwood ave,skokie,il,60077,147,cook,17031,42.03152,-87.75123,child day care centers
44441,"jennifer's preschool and childcare, inc.",7421 astor ave,hanover park,il,60133,39,cook,17031,42.00798,-88.15895,child day care centers
44442,steps to the future daycare and lrning ctr,20 pulaski rd,calumet city,il,60409,45,cook,17031,41.61572,-87.52611,child day care centers
44443,children learning world a montessori sch,5701 oakton st,skokie,il,60077,64,cook,17031,42.02586,-87.77177,"child day care, before or after school, separate from schools"
44444,schaumburg prk dist shephard ecc,421 n springinsguth rd,schaumburg,il,60194,108,cook,17031,42.03422,-88.11835,child day care centers
44445,bright horizons at north kennicott,3523 n kennicott ave,arlington hts,il,60004,144,cook,17031,42.14003,-87.99522,child day care centers
44446,wonder joy academy - belvidere,435 southtowne dr,belvidere,il,61008,81,boone,17007,42.24197,-88.84509,child day care centers
44447,first step,620 logan ave side unit,belvidere,il,61008,142,boone,17007,42.25475,-88.83229,child day care centers
44448,got kidz child care,531 s main st,belvidere,il,61008,132,boone,17007,42.25584,-88.83669,child day care centers
44449,davinci academy cdc llc belvidere,2229 anderson dr,belvidere,il,61008,138,boone,17007,42.2758,-88.89475,child day care centers
44450,brown county early learning center,210 country ln,mt sterling,il,62353,58,brown,17009,39.986395,-90.7545562,child day care centers
44451,zearing child enrichment center inc.,633 masonic drive,princeton,il,61356,76,bureau,17011,41.36679,-89.45478,child day care centers
44452,spring valley head start,227 east erie,spring valley,il,61362,18,bureau,17011,41.32633,-89.19724,"head start programs, separate from schools"
44453,little blessings daycare,125 jackson st,walnut,il,61376,38,bureau,17011,41.55664,-89.59177,child day care centers
44454,new trier child care center,7 happ rd bldg b,northfield,il,60093,66,cook,17031,42.08892,-87.76696,child day care centers
44455,extreme day care 123 loft,1444 s cicero ave,cicero,il,60804,86,cook,17031,41.86056,-87.74484,child day care centers
44456,lectura montessori school,6823 roosevelt rd,berwyn,il,60402,67,cook,17031,41.86492,-87.79484,child day care centers
44457,base - sauk,4435 s churchill dr,richton park,il,60471,40,cook,17031,41.48471,-87.72384,child day care centers
44458,"justice child development center, llc",8527 s 88th ave,justice,il,60458,104,cook,17031,41.73618,-87.83666,child day care centers
44459,gods little gifts christian daycare inc,2000 s 17th ave number 4,broadview,il,60155,38,cook,17031,41.86745,-87.85285,child day care centers
44460,happy days child care center,831 e 162nd st,south holland,il,60473,129,cook,17031,41.60076,-87.59644,child day care centers
44461,green beginnings llc,1376 w carroll ave,chicago,il,60607,101,cook,17031,41.88747,-87.661971,child day care centers
44462,lambs of faith early childhood center,431 s arlington heights rd,arlington hts,il,60005,59,cook,17031,42.07618,-87.97987,child day care centers
44463,storytime learning center,1814 waukegan rd number 1818,glenview,il,60025,91,cook,17031,42.08801,-87.79849,child day care centers
44464,la casa montessori school,608 harrison st,oak park,il,60304,89,cook,17031,41.87282,-87.78959,child day care centers
44465,opus montessori school,180 hawthorne rd,barrington,il,60010,29,cook,17031,42.1163,-88.174245,child day care centers
44466,first baptist church preschool,1602 s prospect ave,savoy,il,61874,49,champaign,17019,40.080288,-88.257404,child day care centers
44467,prince of peace comm early learning ctr,802 e douglas st,st joseph,il,61873,151,champaign,17019,40.10956,-88.03476,child day care centers
44468,child development laboratory,1005 w nevada st,urbana,il,61801,84,champaign,17019,40.1055,-88.22099,child day care centers
44469,peter pan early learning center,809 w kirby ave,champaign,il,61820,72,champaign,17019,40.09784,-88.25665,child day care centers
44470,tia corazoncito learning and daycare ctr number 2,5600 w 26th st,cicero,il,60804,30,cook,17031,41.84386,-87.76391,child day care centers
44471,sauk village academy,10 surrey brook plz number 12,sauk village,il,60411,171,cook,17031,41.48944,-87.57349,child day care centers
44472,park center,2400 chestnut ave,glenview,il,60026,120,cook,17031,42.087461,-87.815032,child day care centers
44473,tiny town inc nfp,18144 glen ter,lansing,il,60438,60,cook,17031,41.56528,-87.5561,child day care centers
44474,millie's house,1920 e touhy ave,des plaines,il,60018,56,cook,17031,42.01012,-87.87704,child day care centers
44475,lsj after school center,3310 s archer ave unit b,chicago,il,60608,58,cook,17031,41.83391,-87.67265,child day care centers
44476,the goddard school of deerfield,475 lake cook rd,deerfield,il,60015,142,cook,17031,42.152744,-87.840579,child day care centers
44477,devonshire montessori school,4154 dempster st,skokie,il,60076,50,cook,17031,42.04105,-87.73228,child day care centers
44478,pee wees dayacare,30 n 5th ave,maywood,il,60153,62,cook,17031,41.88882,-87.83932,child day care centers
44479,fundamentals of learning childrens acad,1515 e 154th st,dolton,il,60419,80,cook,17031,41.61454,-87.57998,child day care centers
44480,the goddard school of south loop chicago,209 e cullerton st,chicago,il,60616,159,cook,17031,41.85532,-87.62189,child day care centers
44481,songbird academy,1904 w montrose ave number 06,chicago,il,60613,16,cook,17031,41.961517,-87.676518,child day care centers
44482,the learning lab preschool inc,18729 dixie hwy number 31,homewood,il,60430,48,cook,17031,41.54904,-87.66476,child day care centers
44483,el valor children center,5310 w 24th pl,cicero,il,60804,151,cook,17031,41.84745,-87.757,child day care centers
44484,"little hearts and hands, inc",2501 myra ridge dr,urbana,il,61802,331,champaign,17019,40.08536,-88.18594,child day care centers
44485,great beginning learning ctr.,1305 s mattis ave,champaign,il,61821,35,champaign,17019,40.1018225,-88.2769484,child day care centers
44486,child development laboratory - u of i,1105 w nevada st,urbana,il,61801,76,champaign,17019,40.10593,-88.2216,child day care centers
44487,coop nursery school of champaign - urbana,602 w green st,urbana,il,61801,48,champaign,17019,40.11066,-88.21491,child day care centers
44488,kinder korner daycare inc,4191 183rd st,cntry clb hls,il,60478,39,cook,17031,41.55674,-87.71822,child day care centers
44489,rising stars day care and learning center,"6515 pershing rd, ste b",stickney,il,60402,62,cook,17031,41.82121,-87.78594,child day care centers
