,objectid,name,address,city,state,zip,population,county,countyfips,latitude,longitude,naics_desc,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,GEOID,centroid_lat,centroid_lon,hdistance,distance_km,distance_minutes,distance_ratio,imputation,distance_minutes_imp
7206,43731,KIDDIE ACADEMY OF CARPENTERSVILLE,112 TAY RIVER DR,CARPENTERSVLE,IL,60110,141,KANE,17089,42.10893,-88.29951,CHILD DAY CARE CENTERS,POINT (-88.29951 42.10893),2641,17,089,850106,17089850106,42.13389557742447,-88.29956131763679,1.726806043429826,5.923,10.233333333333333,3.430032007668671,0,10.233333333333333
7207,45293,HEARTLAND HEAD START NUMBER 4,1407 W WASHINGTON ST,BLOOMINGTON,IL,61701,107,MCLEAN,17113,40.47928,-89.01369,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",POINT (-89.01369 40.47928),589,17,113,000301,17113000301,40.50297867801926,-89.00333671702603,1.727279179484377,8.365,9.05,4.842876646320197,0,9.05
7208,44153,TLC LEARNING CENTER,1206 CEDARWOOD DR,CREST HILL,IL,60403,190,WILL,17197,41.54499,-88.14585,CHILD DAY CARE CENTERS,POINT (-88.14585 41.54499),2280,17,197,880414,17197880414,41.56088154976741,-88.17160036092103,1.7276326830754345,4.073,5.766666666666667,2.3575613264906954,0,5.766666666666667
7209,44354,FARM AND NATURE DISCOVERY AT THE CENTER,12700 SOUTHWEST HWY,PALOS PARK,IL,60464,70,COOK,17031,41.65764,-87.838452,CHILD DAY CARE CENTERS,POINT (-87.838452 41.65764),1477,17,031,823904,17031823904,41.65726344892757,-87.80500597317447,1.72859240506199,4.024,5.116666666666666,2.3279056347905756,0,5.116666666666666
7210,45049,STEP BY STEP,2400 LOCUST STREET,ALTON,IL,62002,71,MADISON,17119,38.9121,-90.15191,CHILD DAY CARE CENTERS,POINT (-90.15191 38.9121),2514,17,119,401400,17119401400,38.89616812199778,-90.12713472980833,1.7299394158503127,7.699,9.45,4.45044487076198,0,9.45
7211,44763,KINDERCARE LEARNING CENTERS 301368,27W151 GENEVA RD,WINFIELD,IL,60190,108,DUPAGE,17043,41.88765,-88.14965,CHILD DAY CARE CENTERS,POINT (-88.14965 41.88765),2589,17,043,841403,17043841403,41.865054053172486,-88.16407718260285,1.7305313921011785,3.97,7.083333333333333,2.2940930272173228,0,7.083333333333333
7212,45302,DISCOVERY YOUTH CENTER,1130 E MARKET ST,RED BUD,IL,62278,152,RANDOLPH,17157,38.21124,-89.98306,CHILD DAY CARE CENTERS,POINT (-89.98306 38.21124),3203,17,157,950800,17157950800,38.1884884445417,-89.9698100636782,1.7306437073265646,20.538,18.266666666666666,11.867260668994865,0,18.266666666666666
7213,45301,ST. JOHN'S LUTHERAN DAY CARE,808 S MAIN ST,RED BUD,IL,62278,91,RANDOLPH,17157,38.20528,-89.99342,CHILD DAY CARE CENTERS,POINT (-89.99342 38.20528),3203,17,157,950800,17157950800,38.1884884445417,-89.9698100636782,1.7308965043130087,18.295,16.966666666666665,10.569667195244161,0,16.966666666666665
7214,45119,NATURES SCHOLARS ENRICHMENT CENTER INCOR,4400 BECK LN,RINGWOOD,IL,60072,97,MCHENRY,17111,42.39021,-88.28901,CHILD DAY CARE CENTERS,POINT (-88.28901 42.39021),190,17,111,870603,17111870603,42.36544945741151,-88.29394753541195,1.7311043491582718,19.328,18.05,11.165127052796096,0,18.05
7215,45205,KINDERCARE LEARNING CENTER 000667,1512 N. ROUTE 83,ROUND LAKE BEACH,IL,60073,153,LAKE,17097,42.37592,-88.069956,CHILD DAY CARE CENTERS,POINT (-88.069956 42.37592),2941,17,097,861011,17097861011,42.40000959064093,-88.07923296621341,1.7323049721683152,6.115,9.55,3.5299788999311668,0,9.55
7216,44822,MONTESSORI CONNECTION EAST,330 LAUREL AVE,HIGHLAND PARK,IL,60035,12,LAKE,17097,42.18588,-87.79322,CHILD DAY CARE CENTERS,POINT (-87.79322 42.18588),1927,17,097,865501,17097865501,42.21005551811072,-87.80207019042128,1.732561188574568,3.613,7.583333333333333,2.085352034794527,0,7.583333333333333
7217,44587,HONEY BEAR DAY CARE CENTER LLC,2359 N MANNHEIM RD,MELROSE PARK,IL,60164,92,COOK,17031,41.92133,-87.88422,CHILD DAY CARE CENTERS,POINT (-87.88422 41.92133),1706,17,031,811701,17031811701,41.94212913555823,-87.90299396926254,1.7328797560988702,4.267,7.833333333333333,2.4623751215179785,0,7.833333333333333
7218,45042,RIVERBEND HEAD START / FAMILY SERVICES - ESS,1802 E BROADWAY,ALTON,IL,62002,168,MADISON,17119,38.88955,-90.1582,"HEAD START PROGRAMS, SEPARATE FROM SCHOOLS",POINT (-90.1582 38.88955),2514,17,119,401400,17119401400,38.89616812199778,-90.12713472980833,1.7338987901551903,7.209,7.666666666666667,4.157682121316186,0,7.666666666666667
7219,45303,HAKUNA MATATA KID CARE INC,2 WESTWOOD DR,STEELEVILLE,IL,62288,70,RANDOLPH,17157,38.01081,-89.67352,CHILD DAY CARE CENTERS,POINT (-89.67352 38.01081),3093,17,157,951100,17157951100,38.009605636557644,-89.64173940354145,1.7339514300316774,27.072,24.083333333333332,15.612894070225153,0,24.083333333333332
7220,44560,KINDERCARE LEARNING CTR 301068,410 DEVONSHIRE DR,CHAMPAIGN,IL,61820,123,CHAMPAIGN,17019,40.08978,-88.24992,CHILD DAY CARE CENTERS,POINT (-88.24992 40.08978),2773,17,019,006000,17019006000,40.07547404367741,-88.22300614170847,1.7342968892303716,4.306,7.6,2.482850558482448,0,7.6
7221,43855,FOX VALLEY MONTESSORI SCHOOL,850 N COMMONWEALTH AVE,AURORA,IL,60506,32,KANE,17089,41.77372,-88.34285,CHILD DAY CARE CENTERS,POINT (-88.34285 41.77372),177,17,089,854001,17089854001,41.752542417777974,-88.36084933739346,1.7343535132985648,3.892,6.883333333333334,2.2440638371342243,0,6.883333333333334
