DETAILS,MALES_UNDER5,FEMALES_UNDER5,TOTPOP,WHITE,BLACK,ASIAN,HISPANIC,BELOW_POVERTY_LINE,MEDIAN_INCOME,TOTAL_OCCUPIED_HOUSES,HOMEOWNER_OCCUPIED_HOUSES,SAME_HOUSE_AS_LAST_YEAR,POP_OVER25,LESS_THAN_HS,BACHELOR_OR_GREATER,STATE,COUNTY,TRACT
Census Tract 9649; Bureau County; Illinois,88,126,2758,2484,0,19,92,681,51917,1110,835,2360,1923,223,399,17,011,964900
Census Tract 9650; Bureau County; Illinois,124,84,3846,2874,37,57,1186,566,67278,1446,1163,3587,2687,446,383,17,011,965000
Census Tract 9651; Bureau County; Illinois,84,135,4101,3497,81,0,695,489,67056,1601,1126,3680,2768,250,433,17,011,965100
Census Tract 9652; Bureau County; Illinois,127,30,3592,3113,9,5,794,306,59052,1561,1064,3220,2516,363,509,17,011,965200
Census Tract 9653; Bureau County; Illinois,29,65,3256,2983,2,113,78,317,66033,1319,1060,2743,2369,179,650,17,011,965300
Census Tract 9654; Bureau County; Illinois,85,73,3433,3268,6,45,149,369,58470,1743,1205,3090,2708,109,936,17,011,965400
Census Tract 9655; Bureau County; Illinois,93,78,3588,3485,0,41,106,302,69403,1507,1196,3249,2490,180,605,17,011,965500
Census Tract 9656; Bureau County; Illinois,88,56,2838,2699,30,18,46,364,69718,1205,1004,2544,2045,165,352,17,011,965600
Census Tract 9512; Calhoun County; Illinois,71,51,2216,2087,15,1,30,272,80897,559,461,2126,1639,201,222,17,013,951200
Census Tract 9513; Calhoun County; Illinois,35,48,2256,2168,18,0,6,92,109286,646,612,2216,1633,60,417,17,013,951300
Census Tract 9601; Carroll County; Illinois,77,133,3463,3291,50,35,81,387,78542,1438,1242,3043,2348,109,482,17,015,960100
Census Tract 9602; Carroll County; Illinois,40,123,2131,2076,6,0,58,260,61541,895,749,1990,1564,191,269,17,015,960200
Census Tract 9603; Carroll County; Illinois,73,19,3092,2742,10,17,228,254,50275,1405,805,2978,2359,440,326,17,015,960300
Census Tract 9604; Carroll County; Illinois,81,28,1978,1868,16,28,74,273,57105,830,630,1766,1373,116,376,17,015,960400
Census Tract 9605; Carroll County; Illinois,52,37,2492,2398,1,23,104,230,68148,1050,863,2201,1760,108,409,17,015,960500
Census Tract 9606; Carroll County; Illinois,47,3,2438,1887,450,0,175,237,71438,699,587,2231,2032,365,274,17,015,960600
Census Tract 9601; Cass County; Illinois,63,101,2101,2012,23,0,16,220,60714,930,787,1943,1468,158,268,17,017,960100
Census Tract 9602; Cass County; Illinois,63,64,2623,2540,27,1,32,283,59231,1090,816,2361,1881,141,419,17,017,960200
Census Tract 9603; Cass County; Illinois,22,48,2632,2469,0,0,377,177,71031,1147,960,2268,2047,241,502,17,017,960300
Census Tract 9604; Cass County; Illinois,88,130,2877,1891,223,24,809,590,52209,984,660,2266,1795,268,364,17,017,960400
Census Tract 9605; Cass County; Illinois,25,71,2722,1732,194,73,1402,307,79125,853,638,2423,1542,400,127,17,017,960500
Census Tract 2; Champaign County; Illinois,180,50,2210,310,1346,353,194,889,32054,893,361,1751,1159,155,226,17,019,000200
Census Tract 3.01; Champaign County; Illinois,0,0,6003,3149,155,2341,208,4931,5413,2172,0,3104,651,44,461,17,019,000301
Census Tract 3.02; Champaign County; Illinois,0,0,2539,826,134,1379,204,1605,11922,1697,0,1252,707,18,530,17,019,000302
Census Tract 4.01; Champaign County; Illinois,0,0,4554,3210,121,1069,291,1109,3388,549,0,1704,131,0,108,17,019,000401
Census Tract 4.02; Champaign County; Illinois,0,0,3377,2026,194,868,307,2097,8333,1038,0,1384,361,0,316,17,019,000402
Census Tract 5; Champaign County; Illinois,117,155,3682,2783,469,225,135,704,60794,1831,690,3146,2589,48,1713,17,019,000500
Census Tract 7; Champaign County; Illinois,65,296,3732,1581,1357,77,746,1071,46185,1413,727,3030,2095,635,249,17,019,000700
Census Tract 8; Champaign County; Illinois,305,333,6735,3414,1445,1664,278,791,64760,3016,834,4911,4059,270,2237,17,019,000800
Census Tract 9.01; Champaign County; Illinois,238,143,4781,1432,2746,71,756,905,42380,1923,828,4130,2596,442,387,17,019,000901
Census Tract 9.02; Champaign County; Illinois,312,322,7473,4587,1576,1141,208,682,69533,2926,2012,5912,4767,382,1762,17,019,000902
Census Tract 10; Champaign County; Illinois,81,62,4423,3173,823,24,90,846,62306,2043,1126,3398,3081,56,1436,17,019,001000
Census Tract 11; Champaign County; Illinois,189,103,3741,2994,321,124,206,178,93456,1609,1172,3064,2518,25,1694,17,019,001100
Census Tract 12.01; Champaign County; Illinois,336,100,7305,3252,2538,861,485,1376,52813,3004,1453,6028,4495,358,1589,17,019,001201
Census Tract 12.03; Champaign County; Illinois,104,141,4252,3433,430,198,138,78,86364,1870,1486,3706,3159,135,1551,17,019,001203
Census Tract 12.04; Champaign County; Illinois,104,67,3704,2246,191,950,77,148,135490,1441,1136,3369,2680,66,1979,17,019,001204
Census Tract 12.05; Champaign County; Illinois,228,183,8362,4726,802,2063,576,937,92903,3220,2072,7014,5351,365,3529,17,019,001205
Census Tract 12.06; Champaign County; Illinois,54,9,1837,1616,50,40,146,86,104545,824,684,1633,1448,28,955,17,019,001206
Census Tract 13.01; Champaign County; Illinois,224,142,5831,4653,302,536,220,405,75140,2577,1648,5218,4262,65,2625,17,019,001301
Census Tract 13.02; Champaign County; Illinois,34,53,4367,3617,112,506,80,218,109939,2036,1552,4088,3387,87,2117,17,019,001302
Census Tract 14; Champaign County; Illinois,147,240,6873,4609,515,1274,642,653,67656,1585,702,4648,2629,122,1758,17,019,001400
Census Tract 53; Champaign County; Illinois,88,112,4585,1019,2326,1081,60,2030,25759,2312,307,2977,1792,190,711,17,019,005300
Census Tract 54.01; Champaign County; Illinois,244,59,4165,2349,1471,60,457,833,35721,2213,678,3111,2507,137,918,17,019,005401
Census Tract 54.02; Champaign County; Illinois,72,96,3821,2863,422,164,509,783,63738,1731,1244,3087,2929,340,714,17,019,005402
Census Tract 55; Champaign County; Illinois,28,21,4682,3172,606,350,442,942,58266,2203,1120,3727,3714,317,1637,17,019,005500
Census Tract 56.01; Champaign County; Illinois,151,212,5631,3569,1211,510,483,655,54748,2488,1262,4684,3612,159,1758,17,019,005601
Census Tract 56.02; Champaign County; Illinois,0,8,2294,1510,185,366,146,370,56250,1290,420,1805,1714,70,1001,17,019,005602
Census Tract 57.01; Champaign County; Illinois,211,254,5105,3674,836,324,417,983,50272,2409,1188,4373,3754,50,1962,17,019,005701
Census Tract 57.02; Champaign County; Illinois,85,36,1641,1273,33,215,10,30,120481,711,569,1533,1323,14,904,17,019,005702
Census Tract 58; Champaign County; Illinois,33,101,4047,2997,197,340,465,1424,60750,1615,811,2744,2110,13,1787,17,019,005800
Census Tract 59.01; Champaign County; Illinois,0,0,2463,1836,92,377,273,621,6964,405,19,1194,181,45,129,17,019,005901
Census Tract 59.02; Champaign County; Illinois,0,0,2686,1414,64,902,287,644,14200,644,0,1402,298,0,229,17,019,005902
Census Tract 60; Champaign County; Illinois,20,98,3029,1719,310,616,369,340,27055,620,13,1031,757,0,688,17,019,006000
Census Tract 101; Champaign County; Illinois,141,227,4171,2468,835,39,482,306,48248,2122,1114,3915,3225,424,452,17,019,010100
Census Tract 102.04; Champaign County; Illinois,123,130,4663,3259,641,35,1138,1145,49167,1928,1383,3886,3061,325,364,17,019,010204
Census Tract 103; Champaign County; Illinois,161,207,3813,1530,1388,32,209,1072,38498,1217,262,3048,1709,84,170,17,019,010300
Census Tract 104; Champaign County; Illinois,125,113,4360,4068,57,4,196,309,78611,1758,1450,4002,3108,153,638,17,019,010400
Census Tract 105; Champaign County; Illinois,48,156,4474,4149,15,78,10,140,106830,1601,1411,3973,3047,48,1085,17,019,010500
Census Tract 106.01; Champaign County; Illinois,187,205,6274,5868,37,107,188,141,114125,2037,1834,5854,3932,54,2079,17,019,010601
Census Tract 106.03; Champaign County; Illinois,291,239,7532,6999,53,44,284,440,109388,2670,2157,6618,4563,49,2372,17,019,010603
Census Tract 106.04; Champaign County; Illinois,141,64,2672,2285,243,29,297,248,110296,1193,901,2084,1976,122,579,17,019,010604
Census Tract 107.01; Champaign County; Illinois,145,47,3969,3814,2,60,76,258,100054,1532,1319,3685,2621,2,946,17,019,010701
Census Tract 107.02; Champaign County; Illinois,149,59,3981,3798,62,66,31,242,103008,1381,1186,3829,2640,32,786,17,019,010702
Census Tract 108; Champaign County; Illinois,116,104,4165,4028,14,2,94,360,93533,1585,1378,3863,2746,108,736,17,019,010800
Census Tract 109.01; Champaign County; Illinois,145,221,6370,5806,259,106,68,346,99674,2326,1747,5880,4028,120,1329,17,019,010901
Census Tract 109.02; Champaign County; Illinois,40,12,3800,3549,2,32,58,171,85000,1454,1127,3364,2678,94,911,17,019,010902
Census Tract 110.01; Champaign County; Illinois,0,10,2070,1761,140,54,68,193,53750,1239,255,1428,1618,54,894,17,019,011001
Census Tract 110.02; Champaign County; Illinois,97,60,2175,1645,102,149,119,175,96523,1105,493,1740,1791,88,1334,17,019,011002
Census Tract 111; Champaign County; Illinois,0,0,2106,1083,38,787,105,1081,27747,1011,23,793,807,21,580,17,019,011100
Census Tract 9581; Christian County; Illinois,94,57,2763,2622,38,1,0,302,70202,1111,974,2577,2031,83,338,17,021,958100
Census Tract 9582; Christian County; Illinois,29,66,3238,3180,0,2,173,290,64779,1503,1142,3099,2445,220,217,17,021,958200
Census Tract 9583; Christian County; Illinois,194,148,3895,3697,54,110,0,662,46146,1815,1235,3648,2796,108,526,17,021,958300
Census Tract 9584; Christian County; Illinois,102,105,3933,3615,233,47,1,783,53558,1447,1120,3280,2644,197,391,17,021,958400
Census Tract 9585; Christian County; Illinois,324,0,2272,1920,304,11,6,275,37259,973,583,1830,1319,172,254,17,021,958500
Census Tract 9586; Christian County; Illinois,42,80,2245,2219,0,11,8,174,66734,935,695,2042,1503,198,398,17,021,958600
Census Tract 9587; Christian County; Illinois,28,101,5493,5006,225,12,252,388,57523,1805,1461,5097,4250,614,660,17,021,958700
Census Tract 9588; Christian County; Illinois,48,10,2420,2403,0,17,90,217,46818,1024,824,2067,1919,146,384,17,021,958800
Census Tract 9589; Christian County; Illinois,79,56,2528,2379,0,16,52,416,41167,1062,708,2312,1649,284,130,17,021,958900
Census Tract 9590; Christian County; Illinois,154,207,5106,4906,35,5,79,309,78402,1798,1609,4588,3545,283,844,17,021,959000
Census Tract 601; Clark County; Illinois,239,73,4411,4244,43,0,93,278,86750,1663,1504,3946,3018,254,1061,17,023,060100
Census Tract 602; Clark County; Illinois,56,162,4210,4079,23,2,25,252,64911,1837,1303,3743,2983,133,645,17,023,060200
Census Tract 603; Clark County; Illinois,106,184,5074,4814,63,21,130,671,51550,2226,1736,4557,3503,360,656,17,023,060300
Census Tract 604; Clark County; Illinois,53,17,1772,1738,0,5,10,170,64095,721,661,1701,1245,89,263,17,023,060400
Census Tract 9719; Clay County; Illinois,49,82,2353,2318,10,0,2,336,66919,937,817,2154,1647,180,239,17,025,971900
Census Tract 9720; Clay County; Illinois,147,120,2862,2788,35,1,17,625,47500,1144,848,2411,2058,318,209,17,025,972000
Census Tract 9721; Clay County; Illinois,67,28,4961,4649,5,39,3,673,51241,2278,1595,3841,3643,429,602,17,025,972100
Census Tract 9722; Clay County; Illinois,120,114,3072,2893,11,2,4,414,71310,1118,943,2809,1906,172,339,17,025,972200
Census Tract 9001; Clinton County; Illinois,181,168,6484,6202,11,15,178,415,88325,2641,2077,5788,4530,164,1470,17,027,900100
Census Tract 9002; Clinton County; Illinois,24,50,1826,1812,0,4,4,36,102500,622,571,1751,1223,79,239,17,027,900200
Census Tract 9003; Clinton County; Illinois,406,188,7031,6616,19,43,337,278,75708,2920,2322,5871,4937,354,1126,17,027,900300
Census Tract 9004.01; Clinton County; Illinois,14,11,1137,1046,24,19,50,77,69583,563,508,1091,901,28,153,17,027,900401
Census Tract 9004.03; Clinton County; Illinois,163,19,3958,3611,86,0,46,273,70795,1538,1097,3553,2725,100,665,17,027,900403
Census Tract 9004.04; Clinton County; Illinois,0,76,1190,1109,0,0,48,95,58929,508,490,1107,943,46,164,17,027,900404
Census Tract 9005; Clinton County; Illinois,136,132,5758,4643,821,95,173,686,58828,1823,1427,5146,4351,877,573,17,027,900500
Census Tract 9006.01; Clinton County; Illinois,49,100,2767,2731,5,0,19,153,79886,1151,1056,2643,1973,111,524,17,027,900601
Census Tract 9006.02; Clinton County; Illinois,160,178,6847,6230,135,49,365,518,91891,2727,1982,6154,4733,346,1298,17,027,900602
Census Tract 1; Coles County; Illinois,50,12,2567,2500,8,0,38,322,55375,1156,924,2330,1841,142,320,17,029,000100
Census Tract 2; Coles County; Illinois,210,225,5505,5259,0,108,198,527,78750,1990,1698,4982,3578,282,1233,17,029,000200
Census Tract 3; Coles County; Illinois,153,124,4454,4133,148,10,84,865,59077,2082,1595,3864,3243,171,763,17,029,000300
