DETAILS,MALES_UNDER5,FEMALES_UNDER5,TOTPOP,WHITE,BLACK,ASIAN,HISPANIC,BELOW_POVERTY_LINE,MEDIAN_INCOME,TOTAL_OCCUPIED_HOUSES,HOMEOWNER_OCCUPIED_HOUSES,SAME_HOUSE_AS_LAST_YEAR,POP_OVER25,LESS_THAN_HS,BACHELOR_OR_GREATER,STATE,COUNTY,TRACT
Census Tract 4205; Cook County; Illinois,27,0,2040,42,1978,0,33,818,25298,1052,233,1469,1564,283,387,17,031,420500
Census Tract 4206; Cook County; Illinois,155,156,2663,60,2356,0,17,957,34643,986,122,2248,1661,199,267,17,031,420600
Census Tract 4207; Cook County; Illinois,81,54,2274,3,2126,0,53,934,24785,1165,345,1927,1618,339,225,17,031,420700
Census Tract 4208; Cook County; Illinois,81,90,2322,93,2044,0,0,454,44375,943,226,2081,1676,172,414,17,031,420800
Census Tract 4212; Cook County; Illinois,52,0,1986,10,1891,0,6,291,41910,689,130,1814,1060,131,176,17,031,421200
Census Tract 4301.01; Cook County; Illinois,147,87,3468,11,3399,26,95,920,32264,1773,279,2910,2425,232,486,17,031,430101
Census Tract 4301.02; Cook County; Illinois,82,35,3542,162,3189,1,63,1039,50625,2428,467,3158,2826,174,662,17,031,430102
Census Tract 4302; Cook County; Illinois,42,74,5455,562,4771,37,279,1725,33183,2703,525,4831,4440,679,1221,17,031,430200
Census Tract 4303; Cook County; Illinois,75,165,2611,62,2539,1,65,703,36467,1041,210,2040,1470,116,438,17,031,430300
Census Tract 4304; Cook County; Illinois,77,40,2999,106,2717,0,60,972,36917,1342,514,2630,2199,109,393,17,031,430400
Census Tract 4305; Cook County; Illinois,25,0,3882,22,3760,0,49,1432,28528,1839,182,3502,2685,683,534,17,031,430500
Census Tract 4306; Cook County; Illinois,28,175,2218,56,2021,7,77,523,54375,837,271,1987,1447,86,333,17,031,430600
Census Tract 4307; Cook County; Illinois,120,23,2256,117,2078,0,65,613,30561,1281,213,1847,1646,143,694,17,031,430700
Census Tract 4308; Cook County; Illinois,34,166,2016,0,2016,0,28,612,45221,813,359,1585,1405,46,597,17,031,430800
Census Tract 4309; Cook County; Illinois,57,52,1681,11,1642,1,0,361,38173,879,349,1522,1320,194,352,17,031,430900
Census Tract 4312; Cook County; Illinois,80,0,2399,15,2351,0,0,232,57845,1278,906,2364,2167,87,691,17,031,431200
Census Tract 4313.01; Cook County; Illinois,53,214,3555,168,3298,33,55,696,36867,1354,192,2214,2027,218,329,17,031,431301
Census Tract 4313.02; Cook County; Illinois,291,109,3788,206,3322,0,536,1803,32031,1677,155,2901,2531,365,450,17,031,431302
Census Tract 4314; Cook County; Illinois,305,506,7565,439,6735,106,271,3082,37122,3427,540,4921,5151,816,894,17,031,431400
Census Tract 4401.01; Cook County; Illinois,232,52,3986,7,3823,33,30,1504,28877,2388,138,2704,2954,565,328,17,031,440101
Census Tract 4401.02; Cook County; Illinois,94,66,3320,67,3224,0,26,900,40565,1987,441,2693,2629,320,693,17,031,440102
Census Tract 4402.01; Cook County; Illinois,153,46,6096,0,6001,0,0,1905,34355,2474,583,4371,4162,512,1063,17,031,440201
Census Tract 4402.02; Cook County; Illinois,48,43,2763,20,2650,0,37,671,31537,1595,533,2211,2080,242,660,17,031,440202
Census Tract 4403; Cook County; Illinois,91,0,4650,1,4197,0,291,352,46747,2109,1288,4210,3420,365,1448,17,031,440300
Census Tract 4406; Cook County; Illinois,24,30,1612,43,1540,0,65,355,58631,709,565,1551,1133,154,358,17,031,440600
Census Tract 4407; Cook County; Illinois,24,0,1453,0,1238,0,215,216,77300,544,402,1040,892,74,381,17,031,440700
Census Tract 4408; Cook County; Illinois,42,35,1877,15,1804,0,46,783,35292,687,203,1560,1204,83,197,17,031,440800
Census Tract 4409; Cook County; Illinois,113,18,2377,225,2129,0,0,693,39730,1029,538,1968,1658,156,674,17,031,440900
Census Tract 4503; Cook County; Illinois,56,102,3461,24,3305,8,0,634,51990,1526,970,3174,2499,378,551,17,031,450300
Census Tract 4601; Cook County; Illinois,98,0,2650,234,2073,70,266,767,47790,995,330,2179,1687,203,423,17,031,460100
Census Tract 4602; Cook County; Illinois,37,31,1880,403,741,10,1100,618,28487,918,406,1777,1433,417,165,17,031,460200
Census Tract 4603.01; Cook County; Illinois,42,186,3189,296,2174,9,944,1041,31831,1207,650,2912,2129,616,214,17,031,460301
Census Tract 4603.02; Cook County; Illinois,293,20,4212,350,3447,0,156,998,50056,1250,619,3874,2416,279,484,17,031,460302
Census Tract 4604; Cook County; Illinois,86,231,3682,27,3524,10,0,872,68475,1314,682,3529,2530,136,637,17,031,460400
Census Tract 4605; Cook County; Illinois,159,0,6284,333,5934,0,0,860,68207,2771,1598,5879,4686,353,1527,17,031,460500
Census Tract 4608; Cook County; Illinois,80,170,4376,566,2783,13,1543,1855,32654,1400,295,4117,2283,720,304,17,031,460800
Census Tract 4610; Cook County; Illinois,71,55,1346,168,967,0,403,403,17182,711,89,1192,997,259,67,17,031,461000
Census Tract 4701; Cook County; Illinois,63,70,2246,40,2022,0,109,362,45855,997,574,2022,1646,211,316,17,031,470100
Census Tract 4801; Cook County; Illinois,41,81,2161,0,2127,0,6,385,72171,941,663,2023,1596,95,547,17,031,480100
Census Tract 4802; Cook County; Illinois,22,36,1057,12,988,0,45,180,54338,603,287,997,852,52,343,17,031,480200
Census Tract 4803; Cook County; Illinois,23,18,1131,4,1102,0,63,206,57839,483,244,1087,737,52,278,17,031,480300
Census Tract 4804; Cook County; Illinois,7,244,5013,3,4961,17,24,170,83567,2325,2011,3923,3900,143,1876,17,031,480400
Census Tract 4805; Cook County; Illinois,43,137,2725,111,2301,0,360,571,46250,1177,747,2532,2075,154,561,17,031,480500
Census Tract 4902; Cook County; Illinois,71,40,2944,83,2704,29,12,373,63175,1387,957,2752,2219,130,682,17,031,490200
Census Tract 4905; Cook County; Illinois,0,13,1775,75,1664,24,13,207,67135,743,564,1571,1339,116,402,17,031,490500
Census Tract 4906; Cook County; Illinois,0,58,1446,154,1241,15,36,201,63947,556,411,1360,1004,131,402,17,031,490600
Census Tract 4907; Cook County; Illinois,160,99,2459,5,2437,0,69,617,44792,889,669,2097,1678,160,282,17,031,490700
Census Tract 4908; Cook County; Illinois,44,26,3705,51,3603,7,35,339,51591,1294,757,3399,2708,396,656,17,031,490800
Census Tract 4909.01; Cook County; Illinois,195,101,3084,0,3084,0,0,1286,35038,1254,382,2469,2051,357,392,17,031,490901
Census Tract 4909.02; Cook County; Illinois,217,114,4697,0,4659,0,201,773,67428,1774,994,4512,3310,353,925,17,031,490902
Census Tract 4910; Cook County; Illinois,64,51,3417,28,3319,0,89,1382,22438,1167,448,3151,2447,542,254,17,031,491000
Census Tract 4911; Cook County; Illinois,120,39,4205,82,3929,0,80,347,68155,1368,1036,3739,3170,486,897,17,031,491100
Census Tract 4912; Cook County; Illinois,42,39,1932,163,1730,0,127,281,53586,669,427,1729,1511,211,209,17,031,491200
Census Tract 4913; Cook County; Illinois,68,49,2131,10,2103,9,18,653,40700,602,231,2025,1300,187,156,17,031,491300
Census Tract 4914; Cook County; Illinois,0,40,2541,16,2338,0,20,787,36480,1033,152,2357,1787,407,309,17,031,491400
Census Tract 5001; Cook County; Illinois,54,28,3231,67,3164,0,59,408,71108,1577,821,2965,2631,177,803,17,031,500100
Census Tract 5002; Cook County; Illinois,38,40,1831,39,1563,0,100,366,38451,771,343,1715,1197,127,136,17,031,500200
Census Tract 5003; Cook County; Illinois,14,149,1794,1018,570,5,400,488,48469,920,484,1583,1361,205,521,17,031,500300
Census Tract 5101; Cook County; Illinois,39,97,3639,1931,439,0,2834,881,56806,1221,683,3546,2384,466,407,17,031,510100
Census Tract 5102; Cook County; Illinois,35,135,3714,635,2687,1,801,839,55417,1251,822,3366,2767,383,609,17,031,510200
Census Tract 5103; Cook County; Illinois,22,157,4640,34,4606,0,0,1561,30607,1908,880,4223,3175,560,372,17,031,510300
Census Tract 5201; Cook County; Illinois,83,70,2062,885,19,3,1932,293,57446,497,273,1856,1200,485,107,17,031,520100
Census Tract 5202; Cook County; Illinois,130,47,3652,1260,42,18,3208,1021,58438,1198,503,3192,2019,512,275,17,031,520200
Census Tract 5203; Cook County; Illinois,216,298,5925,2691,124,63,5234,791,50276,1991,1306,5561,3622,1102,423,17,031,520300
Census Tract 5204; Cook County; Illinois,139,56,4393,2298,74,7,3803,860,49505,1452,1109,4262,2730,404,282,17,031,520400
Census Tract 5205; Cook County; Illinois,239,227,5171,2526,30,47,4163,276,87381,1512,1306,4673,3377,976,456,17,031,520500
Census Tract 5206; Cook County; Illinois,71,101,2739,1369,53,9,2451,188,99688,771,664,2719,1513,323,187,17,031,520600
Census Tract 5301; Cook County; Illinois,85,43,1915,484,819,0,950,500,38027,821,265,1716,1266,440,216,17,031,530100
Census Tract 5302; Cook County; Illinois,146,103,4358,157,3577,0,587,1185,41464,1454,755,3463,3038,325,492,17,031,530200
Census Tract 5303; Cook County; Illinois,43,30,3484,20,3336,0,0,369,53574,1528,905,3217,2456,246,494,17,031,530300
Census Tract 5304; Cook County; Illinois,42,39,2356,65,2178,0,82,480,80147,816,624,2137,1449,125,130,17,031,530400
Census Tract 5305.01; Cook County; Illinois,411,52,5118,98,4907,0,77,1984,39632,1805,918,4715,2995,389,401,17,031,530501
Census Tract 5305.02; Cook County; Illinois,0,9,1464,0,1464,0,39,254,63621,584,534,1175,1024,90,224,17,031,530502
Census Tract 5305.03; Cook County; Illinois,193,4,4369,87,4116,0,112,633,47262,1525,1179,4190,3069,219,719,17,031,530503
Census Tract 5306; Cook County; Illinois,42,18,2385,0,2311,0,16,561,38304,954,440,2178,1688,140,339,17,031,530600
Census Tract 5401.01; Cook County; Illinois,94,332,4460,174,4123,0,231,2380,16712,1647,76,3572,2045,241,88,17,031,540101
Census Tract 5401.02; Cook County; Illinois,135,95,3357,10,3314,0,24,1690,28711,1283,196,2942,1716,302,171,17,031,540102
Census Tract 5501; Cook County; Illinois,373,0,6201,3355,1129,60,2654,896,-666666666,2668,1570,5586,4218,651,756,17,031,550100
Census Tract 5502; Cook County; Illinois,31,17,2824,1483,116,0,1739,207,70197,1057,859,2529,1980,246,385,17,031,550200
Census Tract 5601; Cook County; Illinois,0,0,1284,467,248,232,666,76,59286,342,269,1192,984,152,168,17,031,560100
Census Tract 5602; Cook County; Illinois,130,23,1372,143,615,41,583,122,46979,542,459,1217,1003,246,126,17,031,560200
Census Tract 5603; Cook County; Illinois,148,49,3079,1478,145,16,2204,414,56250,1081,1003,2945,2125,501,346,17,031,560300
Census Tract 5604; Cook County; Illinois,74,67,1744,645,0,34,1476,373,77125,489,438,1717,1097,277,136,17,031,560400
Census Tract 5607; Cook County; Illinois,89,159,3584,1796,1,61,2268,454,78411,1289,862,3359,2492,650,508,17,031,560700
Census Tract 5608; Cook County; Illinois,136,185,6003,4283,0,18,3401,184,103098,1932,1561,5805,3966,577,1094,17,031,560800
Census Tract 5609; Cook County; Illinois,307,67,5131,3781,2,70,2363,180,117188,1849,1727,4876,3608,360,1205,17,031,560900
Census Tract 5610; Cook County; Illinois,108,82,6040,4805,0,0,2593,251,106375,2276,1882,4874,4621,528,1282,17,031,561000
Census Tract 5611; Cook County; Illinois,197,124,5888,3766,12,59,3080,95,95926,2276,2137,5617,4204,617,1134,17,031,561100
Census Tract 5701; Cook County; Illinois,42,13,1421,442,7,86,1130,394,52212,455,356,1387,816,160,151,17,031,570100
Census Tract 5702; Cook County; Illinois,63,12,2084,682,0,253,1558,161,-666666666,806,483,1979,1427,376,212,17,031,570200
Census Tract 5703; Cook County; Illinois,139,99,5951,2626,1,200,4886,566,50641,1814,1326,5745,3676,811,350,17,031,570300
Census Tract 5704; Cook County; Illinois,37,64,1712,936,2,63,1380,211,75125,600,335,1687,1165,348,82,17,031,570400
Census Tract 5705; Cook County; Illinois,149,143,2699,1545,0,77,2135,41,77772,775,484,2009,1726,510,107,17,031,570500
Census Tract 5801; Cook County; Illinois,138,39,2662,891,190,1031,1120,541,51111,946,575,2519,1857,375,402,17,031,580100
Census Tract 5802; Cook County; Illinois,74,215,2988,746,0,372,2486,573,39865,856,382,2940,1643,340,171,17,031,580200
Census Tract 5803; Cook County; Illinois,69,117,2569,1303,29,427,1937,217,61974,790,471,2419,1518,387,110,17,031,580300
Census Tract 5804; Cook County; Illinois,173,47,4672,1535,66,777,3519,641,55355,1482,793,4079,3206,718,477,17,031,580400
Census Tract 5805.01; Cook County; Illinois,131,87,4716,1621,117,515,3414,596,45854,1594,628,4466,3030,662,398,17,031,580501
Census Tract 5805.02; Cook County; Illinois,175,156,4932,1425,11,333,4231,1121,46853,1487,668,4742,2968,942,428,17,031,580502
Census Tract 5806; Cook County; Illinois,132,248,5402,1961,235,580,4200,788,59631,1676,984,5156,3515,1184,711,17,031,580600
Census Tract 5807; Cook County; Illinois,173,215,6137,1459,124,227,5372,1813,57269,1669,798,5886,3781,1505,283,17,031,580700
Census Tract 5808; Cook County; Illinois,9,16,2096,552,0,70,2013,162,63333,558,293,2077,1367,617,188,17,031,580800
Census Tract 5905; Cook County; Illinois,65,20,1672,522,99,432,696,176,69697,740,429,1310,1348,259,466,17,031,590500
Census Tract 5906; Cook County; Illinois,62,51,3813,1193,119,536,2449,598,65192,1430,828,3478,2644,698,753,17,031,590600
Census Tract 5907; Cook County; Illinois,85,51,2914,1169,25,465,2016,297,76667,1018,656,2665,1979,352,479,17,031,590700
Census Tract 6004; Cook County; Illinois,46,27,3963,1237,271,2206,244,588,62599,1593,717,3603,3110,727,940,17,031,600400
Census Tract 6006; Cook County; Illinois,97,23,2953,1182,0,1425,594,420,60625,1195,780,2808,2136,558,639,17,031,600600
Census Tract 6007; Cook County; Illinois,129,53,2870,767,0,1581,574,551,65342,1207,602,2761,2024,452,697,17,031,600700
Census Tract 6009; Cook County; Illinois,82,56,3733,1245,247,1421,874,488,68526,1422,546,3139,2784,329,954,17,031,600900
Census Tract 6103; Cook County; Illinois,104,163,5670,2144,507,66,4939,2421,38984,2134,772,5057,3601,1146,402,17,031,610300
Census Tract 6104; Cook County; Illinois,58,132,1888,935,97,0,1763,361,37480,585,222,1658,1027,369,96,17,031,610400
Census Tract 6108; Cook County; Illinois,49,64,1521,1029,0,175,334,144,86705,559,403,1489,1081,186,238,17,031,610800
Census Tract 6112; Cook County; Illinois,37,113,2072,701,366,9,1595,825,32793,773,294,1710,1360,406,191,17,031,611200
Census Tract 6113; Cook County; Illinois,109,105,3409,483,399,0,2981,795,45283,1043,134,3152,1935,859,102,17,031,611300
Census Tract 6114; Cook County; Illinois,0,141,3587,899,1,1,3542,1390,29194,1003,311,2842,2155,848,118,17,031,611400
Census Tract 6115; Cook County; Illinois,97,143,3273,1312,325,0,2799,855,40960,961,389,2892,2018,871,121,17,031,611500
Census Tract 6116; Cook County; Illinois,251,131,1995,224,1166,0,827,751,-666666666,536,195,1699,1102,209,30,17,031,611600
Census Tract 6117; Cook County; Illinois,69,34,1847,666,566,0,1281,918,21701,759,209,1719,1177,323,0,17,031,611700
Census Tract 6118; Cook County; Illinois,37,0,2186,124,626,18,1542,339,-666666666,724,325,1089,1545,341,36,17,031,611800
Census Tract 6119; Cook County; Illinois,51,30,1559,317,942,0,617,408,34000,534,195,1523,929,338,48,17,031,611900
Census Tract 6120; Cook County; Illinois,0,0,1317,365,812,8,497,199,47300,516,151,907,926,213,187,17,031,612000
Census Tract 6121; Cook County; Illinois,42,0,1018,2,601,10,415,198,27583,367,109,676,620,196,27,17,031,612100
Census Tract 6122; Cook County; Illinois,138,173,3687,587,1137,104,2370,1202,41514,1137,352,3040,1946,807,119,17,031,612200
Census Tract 6201; Cook County; Illinois,173,173,4798,2169,56,313,3976,133,68438,1215,1001,4443,3016,882,434,17,031,620100
Census Tract 6202; Cook County; Illinois,21,151,1948,1128,0,40,1272,114,62250,760,446,1948,1337,332,246,17,031,620200
Census Tract 6203; Cook County; Illinois,198,281,7080,3197,37,137,5741,751,67292,2273,1632,6654,4690,1297,1106,17,031,620300
Census Tract 6204; Cook County; Illinois,27,83,4540,1375,36,205,3928,1298,53575,1298,931,4503,2871,665,308,17,031,620400
Census Tract 6303; Cook County; Illinois,144,81,4167,1621,74,65,3857,337,51920,1419,862,3890,3086,1151,332,17,031,630300
Census Tract 6304; Cook County; Illinois,65,302,6003,2624,107,37,5741,905,39828,1775,933,5785,3837,1092,295,17,031,630400
Census Tract 6305; Cook County; Illinois,204,238,5989,2495,2,60,5837,1003,48986,1647,725,5724,3572,1178,488,17,031,630500
Census Tract 6306; Cook County; Illinois,81,123,2746,976,158,56,2400,623,51643,856,463,2567,1735,435,172,17,031,630600
Census Tract 6308; Cook County; Illinois,101,45,6361,1764,104,21,6035,758,68558,1772,1200,6080,3756,1016,716,17,031,630800
Census Tract 6309; Cook County; Illinois,34,370,4856,1598,379,5,4319,936,41600,1500,613,4629,2896,694,248,17,031,630900
Census Tract 6401; Cook County; Illinois,16,46,1348,557,16,0,1125,60,51579,470,290,1275,1008,266,231,17,031,640100
Census Tract 6403; Cook County; Illinois,182,113,6897,3570,211,0,4348,389,79750,2302,1542,6139,4454,605,1104,17,031,640300
Census Tract 6404; Cook County; Illinois,115,187,3309,2390,75,9,1477,213,90142,1195,1102,3098,2458,338,532,17,031,640400
Census Tract 6405; Cook County; Illinois,85,140,4132,2672,48,41,1714,386,72813,1606,1098,4013,2848,246,583,17,031,640500
Census Tract 6406; Cook County; Illinois,225,232,4427,2344,63,92,2735,222,79231,1762,1066,4044,3013,323,669,17,031,640600
Census Tract 6407; Cook County; Illinois,101,40,3110,1500,59,6,2308,111,72297,1020,815,3018,1978,292,453,17,031,640700
Census Tract 6408; Cook County; Illinois,42,110,1505,894,14,30,1175,219,38365,577,410,1476,1064,179,240,17,031,640800
Census Tract 6501; Cook County; Illinois,145,453,4622,1430,49,1,4252,341,59966,1434,878,4249,2956,409,506,17,031,650100
Census Tract 6502; Cook County; Illinois,296,243,7211,3922,41,171,5466,1119,92357,2193,1356,6053,4799,1460,1064,17,031,650200
Census Tract 6503.01; Cook County; Illinois,117,104,4863,2362,37,34,4032,580,59569,1560,1245,4520,3009,770,410,17,031,650301
Census Tract 6503.02; Cook County; Illinois,238,328,4945,2450,117,0,4546,585,60739,1229,872,4681,2759,685,252,17,031,650302
Census Tract 6504; Cook County; Illinois,267,136,6794,1835,141,50,6372,1484,72308,1636,1505,6012,3676,1275,609,17,031,650400
Census Tract 6505; Cook County; Illinois,139,73,4159,1777,548,0,2729,673,66818,1572,1345,3901,2973,861,409,17,031,650500
Census Tract 6603.01; Cook County; Illinois,104,130,1761,506,513,0,1214,574,24628,601,153,1683,1031,216,126,17,031,660301
Census Tract 6603.02; Cook County; Illinois,90,232,4612,1228,559,0,4032,540,44329,1441,564,4271,2891,967,183,17,031,660302
Census Tract 6604; Cook County; Illinois,144,142,4719,1407,91,23,4517,711,44297,1565,864,4608,2983,1154,265,17,031,660400
Census Tract 6605; Cook County; Illinois,148,239,4284,1652,182,14,3833,354,42247,1398,660,4161,2914,754,209,17,031,660500
Census Tract 6606; Cook County; Illinois,158,660,5849,1553,2275,0,3293,1508,36729,2018,620,4935,3470,557,342,17,031,660600
Census Tract 6607; Cook County; Illinois,0,91,1617,0,1444,5,168,508,33347,634,339,1522,1100,274,77,17,031,660700
Census Tract 6608; Cook County; Illinois,312,264,5832,1207,2988,49,2620,1624,41099,2212,808,5169,3359,615,561,17,031,660800
Census Tract 6609; Cook County; Illinois,401,353,5631,651,3872,0,1520,1677,41032,1643,723,4833,3225,460,119,17,031,660900
Census Tract 6610; Cook County; Illinois,72,100,5424,196,3580,36,1352,1463,46066,2137,1311,5134,3777,641,446,17,031,661000
Census Tract 6611; Cook County; Illinois,68,91,7186,1549,2247,24,4563,896,78778,1933,1577,6705,4667,1109,699,17,031,661100
Census Tract 6701; Cook County; Illinois,63,0,1472,101,969,0,505,584,24583,447,239,1307,802,320,56,17,031,670100
Census Tract 6702; Cook County; Illinois,0,72,724,0,715,0,9,269,34459,356,112,673,556,51,42,17,031,670200
Census Tract 6703; Cook County; Illinois,76,19,1332,73,1022,0,275,534,30179,413,131,1063,875,152,104,17,031,670300
Census Tract 6704; Cook County; Illinois,67,17,1616,200,1205,0,381,478,32083,617,249,1430,1128,276,110,17,031,670400
Census Tract 6705; Cook County; Illinois,67,24,1004,70,793,0,203,311,30313,358,149,845,675,174,33,17,031,670500
Census Tract 6706; Cook County; Illinois,20,83,1174,170,779,0,389,383,37621,367,259,937,754,143,96,17,031,670600
Census Tract 6707; Cook County; Illinois,96,17,1092,111,610,0,414,455,35500,312,171,866,656,209,65,17,031,670700
Census Tract 6708; Cook County; Illinois,27,6,1022,7,988,0,22,292,39297,425,147,1004,840,252,95,17,031,670800
Census Tract 6709; Cook County; Illinois,0,11,1246,123,867,0,307,337,29906,548,343,1246,879,120,135,17,031,670900
Census Tract 6711; Cook County; Illinois,0,48,915,0,915,0,0,578,15159,373,138,787,614,18,32,17,031,671100
Census Tract 6712; Cook County; Illinois,63,34,840,12,649,0,167,134,40286,268,113,678,480,148,73,17,031,671200
Census Tract 6713; Cook County; Illinois,34,108,1657,70,1443,0,214,615,28056,742,454,1479,1323,310,84,17,031,671300
Census Tract 6714; Cook County; Illinois,0,100,1299,65,772,0,295,608,26080,565,424,1253,900,225,36,17,031,671400
Census Tract 6715; Cook County; Illinois,32,44,2308,69,2013,0,286,503,34167,930,430,2248,1590,353,221,17,031,671500
Census Tract 6716; Cook County; Illinois,23,83,1709,38,1591,50,30,736,21063,707,206,1530,1200,168,64,17,031,671600
Census Tract 6718; Cook County; Illinois,114,83,1128,44,957,0,113,430,34470,378,189,1005,762,121,93,17,031,671800
Census Tract 6719; Cook County; Illinois,14,32,1034,0,678,29,327,107,-666666666,348,210,999,752,177,126,17,031,671900
Census Tract 6720; Cook County; Illinois,228,82,3295,43,2749,0,488,676,38654,1058,715,3044,2004,586,215,17,031,672000
Census Tract 6805; Cook County; Illinois,78,0,1474,195,1036,0,384,347,39306,553,223,1333,844,178,93,17,031,680500
Census Tract 6806; Cook County; Illinois,59,33,1178,3,1172,3,0,288,50330,443,100,893,699,49,123,17,031,680600
Census Tract 6809; Cook County; Illinois,134,39,3560,70,3266,88,31,1285,22846,1908,265,3200,2807,731,339,17,031,680900
Census Tract 6810; Cook County; Illinois,64,31,2297,16,2185,0,41,1178,-666666666,1028,300,1953,1447,301,177,17,031,681000
Census Tract 6811; Cook County; Illinois,96,61,1932,3,1910,1,1,738,32583,802,323,1792,1246,272,212,17,031,681100
Census Tract 6812; Cook County; Illinois,28,48,1883,101,1614,0,44,884,17338,763,159,1445,1004,167,127,17,031,681200
Census Tract 6813; Cook County; Illinois,76,58,2323,13,2223,70,17,1096,17500,880,117,2123,1325,325,137,17,031,681300
Census Tract 6814; Cook County; Illinois,105,144,1879,83,1763,1,81,223,51531,651,320,1536,1248,225,190,17,031,681400
Census Tract 6903; Cook County; Illinois,5,10,2303,90,2188,0,32,493,35319,736,116,2107,1635,231,271,17,031,690300
Census Tract 6904; Cook County; Illinois,133,36,2908,0,2827,0,60,781,40722,1480,481,2396,2061,202,696,17,031,690400
Census Tract 6905; Cook County; Illinois,23,6,742,0,742,0,0,126,56203,333,203,679,574,68,37,17,031,690500
Census Tract 6909; Cook County; Illinois,70,0,3809,73,3627,0,39,1030,41131,1744,786,3698,2889,391,560,17,031,690900
Census Tract 6910; Cook County; Illinois,0,224,2655,28,2570,1,17,743,78375,1221,701,2408,1827,118,646,17,031,691000
Census Tract 6911; Cook County; Illinois,174,66,2883,11,2861,0,5,703,57542,1118,306,2683,2151,280,426,17,031,691100
Census Tract 6912; Cook County; Illinois,53,21,1984,12,1938,0,9,617,35551,870,251,1505,1362,133,185,17,031,691200
Census Tract 6913; Cook County; Illinois,91,94,2332,0,2289,0,35,615,42708,1093,515,2038,1800,157,424,17,031,691300
Census Tract 6914; Cook County; Illinois,93,188,2701,1,2434,24,113,810,38816,1310,570,1887,1690,145,323,17,031,691400
Census Tract 6915; Cook County; Illinois,77,79,1895,92,1793,0,42,1058,22363,889,231,1530,1118,131,195,17,031,691500
Census Tract 7001; Cook County; Illinois,172,72,3874,1045,2292,8,1395,626,78803,1081,940,3457,2295,442,295,17,031,700100
Census Tract 7002; Cook County; Illinois,82,244,6888,1496,1015,220,5275,1295,80096,1884,1714,6717,4420,896,747,17,031,700200
Census Tract 7003.01; Cook County; Illinois,200,97,6124,2841,297,59,4597,508,74207,1895,1679,5834,3810,1165,621,17,031,700301
Census Tract 7003.02; Cook County; Illinois,138,230,6003,3466,827,14,3903,721,83086,1805,1622,5777,3871,953,620,17,031,700302
Census Tract 7004.01; Cook County; Illinois,28,143,6218,1028,3161,57,2629,1211,81065,1883,1491,6042,4140,722,719,17,031,700401
Census Tract 7004.02; Cook County; Illinois,83,18,3417,283,2043,4,1087,134,85208,1196,1131,3308,2156,278,582,17,031,700402
Census Tract 7005.01; Cook County; Illinois,0,174,6565,730,5382,74,582,788,66979,2530,1812,6244,4965,716,1221,17,031,700501
Census Tract 7005.02; Cook County; Illinois,130,85,3656,397,3058,0,407,352,87543,1191,1030,3424,2621,152,908,17,031,700502
Census Tract 7101; Cook County; Illinois,67,18,1026,0,940,8,87,613,23500,518,136,916,676,24,108,17,031,710100
Census Tract 7102; Cook County; Illinois,252,43,4056,95,3943,0,0,1431,28091,1739,464,3185,2821,821,200,17,031,710200
Census Tract 7103; Cook County; Illinois,62,53,1382,0,1300,32,32,220,54444,558,203,1160,1012,138,103,17,031,710300
Census Tract 7104; Cook County; Illinois,431,239,5668,79,5261,58,183,1891,44858,2229,1158,4372,3797,509,773,17,031,710400
Census Tract 7105; Cook County; Illinois,236,23,4087,155,3646,20,204,1136,39943,1511,671,3309,2457,368,451,17,031,710500
Census Tract 7106; Cook County; Illinois,10,59,1720,106,1517,0,54,370,35865,915,354,1554,1358,259,228,17,031,710600
Census Tract 7107; Cook County; Illinois,201,15,3412,18,3344,1,1,1162,31473,1266,455,3230,2420,384,362,17,031,710700
Census Tract 7108; Cook County; Illinois,84,214,4536,19,4463,37,4,1235,30461,1970,524,3862,2922,579,422,17,031,710800
Census Tract 7109; Cook County; Illinois,128,178,2151,26,2084,11,137,832,45663,754,353,1646,1249,127,306,17,031,710900
Census Tract 7110; Cook County; Illinois,129,216,3779,94,3525,69,91,970,58030,1252,555,3082,2285,338,283,17,031,711000
Census Tract 7111; Cook County; Illinois,137,0,2808,81,2719,0,81,715,46667,1048,664,2423,1895,206,452,17,031,711100
Census Tract 7112; Cook County; Illinois,74,102,4869,34,4095,0,538,392,58444,1751,1213,4601,3326,504,650,17,031,711200
Census Tract 7113; Cook County; Illinois,0,67,1618,30,1492,96,0,189,70223,666,341,1331,1224,214,178,17,031,711300
Census Tract 7114; Cook County; Illinois,95,201,2728,9,2556,0,118,651,53929,874,592,2313,1842,135,303,17,031,711400
Census Tract 7115; Cook County; Illinois,0,64,2628,13,2521,68,39,280,57422,873,659,2421,1945,316,257,17,031,711500
Census Tract 7201; Cook County; Illinois,173,217,3370,1797,1052,67,422,403,151613,1114,1103,3049,2188,58,1466,17,031,720100
Census Tract 7202; Cook County; Illinois,94,121,4097,1826,1997,20,291,84,118836,1579,1338,3607,2858,65,1408,17,031,720200
Census Tract 7203; Cook County; Illinois,107,82,3614,2388,1032,11,200,75,145250,1511,1344,3434,2910,78,2006,17,031,720300
Census Tract 7204; Cook County; Illinois,62,43,1872,1463,210,8,231,53,116406,697,660,1803,1287,35,741,17,031,720400
Census Tract 7205; Cook County; Illinois,60,16,1833,1670,35,15,182,46,110625,720,668,1744,1312,37,768,17,031,720500
Census Tract 7206; Cook County; Illinois,110,72,1860,1449,395,0,13,95,148450,627,591,1766,1169,18,860,17,031,720600
